id,query,syntax,semantic,results,correctness level,normalized value
114,,1,0,0,2,0.142857
115,,1,0,0,2,0.142857
116,,1,0,0,2,0.142857
121,,1,0,0,2,0.142857
133,,1,0,0,2,0.142857
136,,1,0,0,2,0.142857
137,,1,0,0,2,0.142857
14,,1,0,0,2,0.142857
143,,1,0,0,2,0.142857
15,,1,0,0,2,0.142857
150,,1,0,0,2,0.142857
154,,1,0,0,2,0.142857
163,,1,0,0,2,0.142857
170,,1,0,0,2,0.142857
172,,1,0,0,2,0.142857
174,,1,0,0,2,0.142857
181,,1,0,0,2,0.142857
201,,1,0,0,2,0.142857
203,,1,0,0,2,0.142857
210,,1,0,0,2,0.142857
223,,1,0,0,2,0.142857
224,,1,0,0,2,0.142857
228,,1,0,0,2,0.142857
23,,1,0,0,2,0.142857
233,,1,0,0,2,0.142857
241,,1,0,0,2,0.142857
246,,1,0,0,2,0.142857
251,,1,0,0,2,0.142857
255,,1,0,0,2,0.142857
258,,1,0,0,2,0.142857
26,,1,0,0,2,0.142857
274,,1,0,0,2,0.142857
279,,1,0,0,2,0.142857
282,,1,0,0,2,0.142857
284,,1,0,0,2,0.142857
290,,1,0,0,2,0.142857
298,,1,0,0,2,0.142857
303,,1,0,0,2,0.142857
314,,1,0,0,2,0.142857
315,,1,0,0,2,0.142857
317,,1,0,0,2,0.142857
319,,1,0,0,2,0.142857
322,,1,0,0,2,0.142857
323,,1,0,0,2,0.142857
324,,1,0,0,2,0.142857
334,,1,0,0,2,0.142857
344,,1,0,0,2,0.142857
350,,1,0,0,2,0.142857
42,,1,0,0,2,0.142857
6,,1,0,0,2,0.142857
65,,1,0,0,2,0.142857
66,,1,0,0,2,0.142857
71,,1,0,0,2,0.142857
75,,1,0,0,2,0.142857
82,,1,0,0,2,0.142857
92,,1,0,0,2,0.142857
295," SELECT Track.track_title FROM Track, Track as Track2(track_id,album_id2,track_title,duration,popularity,explicit) WHERE Track.album_id = Track2.album_id2 AND Track2.track_title = 'Overpass Graffiti';",1,1,1,8,1
13," SELECT Track.track_title FROM Track, Track as Track_2 WHERE Track.album_id = Track_2.album_id AND Track_2.track_title = 'Overpass Graffiti';",1,1,1,8,1
20," SELECT Track.track_title, album_id FROM Track, Track AS Track2(track_id, album_id2, track_title, duration, popularity, explicit ) WHERE album_id = album_id2 AND Track.track_title ='Overpass Graffiti' ;",1,0,0,2,0.142857
235," SELECT Track2.track_title FROM Track, Track as Track2(track_id, album_id2) WHERE Track.track_title = 'Overpass Graffiti' AND Track.album_id = Track2.album_id2; ",1,1,1,8,1
124," select distinct a.track_title, from Track a, Album b, album c , track d where b.album_id = c.album_id and a.track_id = d.track_id and c.album_id = d.album_id and d.track_title = 'Overpass Graffiti';",0,0,0,1,0
204," select track.track_title from album as album2(album_id2, album_title, total_tracks, year, type), track, track as track2(track_id, album_id, title, duration, popularity, explicit) where album_id = album_id2 and track2.track_title = 'Overpass Graffiti'';",0,0,0,1,0
56,"(SELECT track.title FROM Track, Track AS Track2 (track_id, album_id2, title, duration, popularity, explicit) WHERE album.id = album.id2) UNION (SELECT album.id FROM Track WHERE track.title = 'Overpass Graffiti') ",1,0,0,2,0.142857
72,-,0,0,0,1,0
281,-,0,0,0,1,0
342,-,0,0,0,1,0
316,--SELECT track_title FROM Track WHERE album_id = (SELECT album_id FROM Track WHERE track_title = 'Overpass Graffiti');,1,0,0,2,0.142857
345,.,0,0,0,1,0
105,.,0,0,0,1,0
268,.,0,0,0,1,0
267,=,0,0,0,1,0
107,??,0,0,0,1,0
185,???,0,0,0,1,0
343,"D SELECT DISTINCT Track.track_title > FROM Track, Track AS Track2 > WHERE Track2.track_title='Overpass Graffiti' > AND Track.album_id=Track2.album_id;",0,0,0,1,0
139,"I understand we need to make a new album_id and set that equal to the album_id of the track_title Overpass Graffiti""",0,0,0,0,0
