Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
1,1,6,"""DROP TABLE IF EXISTS Copy;    CREATE TABLE Copy (     isbn TEXT NOT NULL,                         serial_number INTEGER NOT NULL,             weight INTEGER NOT NULL CHECK (weight BETWEEN 10 AND 1000),     bookcase INTEGER NOT NULL,                  PRIMARY KEY (isbn, serial_number),           FOREIGN KEY (isbn) REFERENCES Book(isbn)          ON UPDATE CASCADE          ON DELETE CASCADE                   );""",0.3142857142857143,1,"""1️⃣ Goal:
The query is supposed to:
 ● Create a table named 'copy'. Columns: isbn varchar, serial_number int4, weight int4 and bookcase int4. Primary key on (isbn, serial_number). Foreign keys: FOREIGN KEY (isbn) REFERENCES book (isbn). Check constraints: CHECK (((weight >= 10) and (weight <= 1000))). 

2️⃣ Correct Clauses:
✅ Table name
✅ Column names
✅ Primary key

3️⃣ Issues found in the following sections:
❌ Type of 'isbn'
❌ NOT NULL constraint for 'isbn'
❌ NOT NULL constraint for 'serial_number'
❌ NOT NULL constraint for 'weight'
❌ NOT NULL constraint for 'bookcase'
❌ Check constraints

❗ Problem Details:
● The type for column 'isbn' should be 'varchar', but you have 'text'.
● Column 'isbn' should not have a NOT NULL constraint, but your statement has it.
● Column 'serial_number' should not have a NOT NULL constraint, but your statement has it.
● Column 'weight' should not have a NOT NULL constraint, but your statement has it.
● Column 'bookcase' should not have a NOT NULL constraint, but your statement has it.
● For CHECK constraint 1, expected: CHECK (weight >= 10) and (weight <= 1000) but found: CHECK (weight BETWEEN (unknown expression).

4️⃣ Next steps:
● Change the type of column 'isbn' to 'varchar'.
● Adjust the NOT NULL constraint for column 'isbn'.
● Adjust the NOT NULL constraint for column 'serial_number'.
● Adjust the NOT NULL constraint for column 'weight'.
● Adjust the NOT NULL constraint for column 'bookcase'.
Adjust the CHECK constraint definition 1.
Extra DropStmt statement.
"""
2,1,6,"""ALTER TABLE Copy ADD CHECK (weight >= 10 AND weight <= 1000);   CREATE TABLE Copy(     isbn VARCHAR(13),     serial_number INT,     weight INT,     CHECK (weight >= 10 AND weight <= 1000),     bookcase INT,     PRIMARY KEY(isbn, serial_number),     FOREIGN KEY (isbn) REFERENCES Book(isbn) ON DELETE CASCADE ON UPDATE CASCADE NOT DEFERRABLE );""",0.5428571428571428,1,"""1️⃣ Goal:
The query is supposed to:
 ● Alter table 'copy': ADD CONSTRAINT ((weight >= 10) and (weight <= 1000)).

2️⃣ Correct Clauses:
✅ Table name
✅ Number of operations
✅ Operation 1

Excellent! Your ALTER statement matches the reference.
Extra CreateStmt statement.
"""
4,1,6,ALTER TABLE Copy ADD CONSTRAINT Check_Weight  CHECK (Weight<10 AND Weight>1000);,0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to:
 ● Alter table 'copy': ADD CONSTRAINT ((weight >= 10) and (weight <= 1000)).

2️⃣ Correct Clauses:
✅ Table name
✅ Number of operations

3️⃣ Issues found in the following sections:
❌ Operation 1
❌ Operation 1

❗ Problem Details:
● Op 1: expected constraint name '' but found 'check_weight'.
● Op 1: expected constraint expr '((weight >= 10) and (weight <= 1000))' but found '((weight < 10) and (weight > 1000))'.

4️⃣ Next steps:
Name constraint ''.
Use CHECK/KEY expr '((weight >= 10) and (weight <= 1000))'.
"""
5,1,6,"""CREATE TABLE Copy (  isbn NUMERIC(13,0) NOT NULL,   serial_number INT NOT NULL,  weight INT NOT  NULL,  bookcase INT NOT NULL,  PRIMARY KEY (isbn,Serial_number),  FOREIGN KEY (isbn) REFERENCES Book(isbn)  CONSTRAINT chk_weight CHECK weight >= 10 AND weight <= 1000 );ON DELETE CASCADE, ON UPDATE CASCADE""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
7,1,6,"""CREATE TABLE Copy(isbn TEXT, serial_number INT PRIMARY KEY, weight INT NOT NULL CHECK (weight>10 AND weight<1000), bookcase INT NOT NULL, FOREIGN KEY(isbn) REFERENCES Book(isbn) ON UPDATE CASCADE ON DELETE CASCADE);""",0.2,1,"""1️⃣ Goal:
The query is supposed to:
 ● Create a table named 'copy'. Columns: isbn varchar, serial_number int4, weight int4 and bookcase int4. Primary key on (isbn, serial_number). Foreign keys: FOREIGN KEY (isbn) REFERENCES book (isbn). Check constraints: CHECK (((weight >= 10) and (weight <= 1000))). 

2️⃣ Correct Clauses:
✅ Table name
✅ Column names

3️⃣ Issues found in the following sections:
❌ Type of 'isbn'
❌ NOT NULL constraint for 'weight'
❌ NOT NULL constraint for 'bookcase'
❌ Primary key
❌ Check constraints

❗ Problem Details:
● The type for column 'isbn' should be 'varchar', but you have 'text'.
● Column 'weight' should not have a NOT NULL constraint, but your statement has it.
● Column 'bookcase' should not have a NOT NULL constraint, but your statement has it.
● Missing primary key column(s): 'isbn'.
● For CHECK constraint 1, expected: CHECK (weight >= 10) and (weight <= 1000) but found: CHECK (weight > 10) and (weight < 1000).

4️⃣ Next steps:
● Change the type of column 'isbn' to 'varchar'.
● Adjust the NOT NULL constraint for column 'weight'.
● Adjust the NOT NULL constraint for column 'bookcase'.
● Include the missing primary key column(s): 'isbn'.
Adjust the CHECK constraint definition 1.
"""
8,1,6,"""CREATE TABLE Copy( serial_number INT PRIMARY KEY, weight INT NOT NULL CHECK (weight>=10 AND weight <=1000), bookcase INT NOT NULL, isbn CHAR(13) REFERENCES Book(isbn) ON UPDATE CASCADE ON DELETE CASCADE );""",0.2,1,"""1️⃣ Goal:
The query is supposed to:
 ● Create a table named 'copy'. Columns: isbn varchar, serial_number int4, weight int4 and bookcase int4. Primary key on (isbn, serial_number). Foreign keys: FOREIGN KEY (isbn) REFERENCES book (isbn). Check constraints: CHECK (((weight >= 10) and (weight <= 1000))). 

2️⃣ Correct Clauses:
✅ Table name
✅ Column names

3️⃣ Issues found in the following sections:
❌ Type of 'isbn'
❌ NOT NULL constraint for 'weight'
❌ NOT NULL constraint for 'bookcase'
❌ Primary key
❌ Foreign keys

❗ Problem Details:
● The type for column 'isbn' should be 'varchar', but you have 'bpchar'.
● Column 'weight' should not have a NOT NULL constraint, but your statement has it.
● Column 'bookcase' should not have a NOT NULL constraint, but your statement has it.
● Missing primary key column(s): 'isbn'.
● Expected 1 foreign key constraint(s), but found 0.

4️⃣ Next steps:
● Change the type of column 'isbn' to 'varchar'.
● Adjust the NOT NULL constraint for column 'weight'.
● Adjust the NOT NULL constraint for column 'bookcase'.
● Include the missing primary key column(s): 'isbn'.
Review your FOREIGN KEY definitions.
"""
9,1,6,"""DROP TABLE IF EXISTS Copy;   CREATE TABLE Copy (     isbn TEXT NOT NULL,                          serial_number TEXT NOT NULL,              weight INTEGER NOT NULL CHECK (weight >= 10 AND weight <= 1000),      bookcase INTEGER NOT NULL,                            PRIMARY KEY (isbn, serial_number),           FOREIGN KEY (isbn) REFERENCES Book(isbn)          ON UPDATE CASCADE                            ON DELETE CASCADE                    );""",0.3142857142857143,1,"""1️⃣ Goal:
The query is supposed to:
 ● Create a table named 'copy'. Columns: isbn varchar, serial_number int4, weight int4 and bookcase int4. Primary key on (isbn, serial_number). Foreign keys: FOREIGN KEY (isbn) REFERENCES book (isbn). Check constraints: CHECK (((weight >= 10) and (weight <= 1000))). 

2️⃣ Correct Clauses:
✅ Table name
✅ Column names
✅ Primary key

3️⃣ Issues found in the following sections:
❌ Type of 'isbn'
❌ NOT NULL constraint for 'isbn'
❌ Type of 'serial_number'
❌ NOT NULL constraint for 'serial_number'
❌ NOT NULL constraint for 'weight'
❌ NOT NULL constraint for 'bookcase'

❗ Problem Details:
● The type for column 'isbn' should be 'varchar', but you have 'text'.
● Column 'isbn' should not have a NOT NULL constraint, but your statement has it.
● The type for column 'serial_number' should be 'int4', but you have 'text'.
● Column 'serial_number' should not have a NOT NULL constraint, but your statement has it.
● Column 'weight' should not have a NOT NULL constraint, but your statement has it.
● Column 'bookcase' should not have a NOT NULL constraint, but your statement has it.

4️⃣ Next steps:
● Change the type of column 'isbn' to 'varchar'.
● Adjust the NOT NULL constraint for column 'isbn'.
● Change the type of column 'serial_number' to 'int4'.
● Adjust the NOT NULL constraint for column 'serial_number'.
● Adjust the NOT NULL constraint for column 'weight'.
● Adjust the NOT NULL constraint for column 'bookcase'.
Extra DropStmt statement.
"""
10,1,6,"""CREATE TABLE Copy serial_number INTEGER PRIMARY KEY, isbn TEXT NOT NULL, weight INTEGER NOT NULL CHECK(weight >= 10 AND weight <= 1000), bookcase INTEGER NOT NULL, FOREIGN KEY (isbn) REFERENCES Book(isbn) ON DELETE CASCADE ON UPDATE CASCADE""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
11,1,6,"""CREATE TABLE Copy (     isbn TEXT,     serial_number INTEGER PRIMARY KEY,     weight INTEGER CHECK (weight >= 10 AND weight <= 1000),      bookcase INTEGER,     FOREIGN KEY (isbn) REFERENCES Book(isbn) );""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to:
 ● Create a table named 'copy'. Columns: isbn varchar, serial_number int4, weight int4 and bookcase int4. Primary key on (isbn, serial_number). Foreign keys: FOREIGN KEY (isbn) REFERENCES book (isbn). Check constraints: CHECK (((weight >= 10) and (weight <= 1000))). 

2️⃣ Correct Clauses:
✅ Table name
✅ Column names

3️⃣ Issues found in the following sections:
❌ Type of 'isbn'
❌ Primary key

❗ Problem Details:
● The type for column 'isbn' should be 'varchar', but you have 'text'.
● Missing primary key column(s): 'isbn'.

4️⃣ Next steps:
● Change the type of column 'isbn' to 'varchar'.
● Include the missing primary key column(s): 'isbn'.
"""
12,1,6,"""CREATE TABLE Copy( isbn INT NOT NULL, serial_number INT NOT NULL, weight INT NOT NULL CHECK (weight >= 10 AND weight <= 1000),  bookcase INT NOT NULL, PRIMARY KEY (isbn, serial_number), FOREIGN KEY (isbn) REFERENCES Book (isbn) ON DELETE CASCADE ON UPDATE CASCADE );""",0.3142857142857143,1,"""1️⃣ Goal:
The query is supposed to:
 ● Create a table named 'copy'. Columns: isbn varchar, serial_number int4, weight int4 and bookcase int4. Primary key on (isbn, serial_number). Foreign keys: FOREIGN KEY (isbn) REFERENCES book (isbn). Check constraints: CHECK (((weight >= 10) and (weight <= 1000))). 

2️⃣ Correct Clauses:
✅ Table name
✅ Column names
✅ Primary key

3️⃣ Issues found in the following sections:
❌ Type of 'isbn'
❌ NOT NULL constraint for 'isbn'
❌ NOT NULL constraint for 'serial_number'
❌ NOT NULL constraint for 'weight'
❌ NOT NULL constraint for 'bookcase'

❗ Problem Details:
● The type for column 'isbn' should be 'varchar', but you have 'int4'.
● Column 'isbn' should not have a NOT NULL constraint, but your statement has it.
● Column 'serial_number' should not have a NOT NULL constraint, but your statement has it.
● Column 'weight' should not have a NOT NULL constraint, but your statement has it.
● Column 'bookcase' should not have a NOT NULL constraint, but your statement has it.

4️⃣ Next steps:
● Change the type of column 'isbn' to 'varchar'.
● Adjust the NOT NULL constraint for column 'isbn'.
● Adjust the NOT NULL constraint for column 'serial_number'.
● Adjust the NOT NULL constraint for column 'weight'.
● Adjust the NOT NULL constraint for column 'bookcase'.
"""
