Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-291 v1,SELECT song FROM Track WHERE NOT EXIST (  SELECT * FROM Performs  WHERE Performs.track_id = Track.track_id  AND role = 'vocals');,0.25,1," SYNTAX: The query is not parseable.  SYNTAX MINOR ERROR: To make the query parseable, it was changed to, 'SELECT song FROM Track WHERE NOT EXISTS (  SELECT * FROM Performs  WHERE Performs.track_id = Track.track_id  AND role = 'vocals');'.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
2,1,IPC033-291 v1,SELECT T.song FROM Track T JOIN Performs P ON T.track_id = P.track_id WHERE P.role <> 'vocals';,0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
3,1,IPC033-291 v1,"SELECT song FROM Track, Performs WHERE NOT role = 'vocals' AND NOT artist_id = NULL AND Track.track_id =  Performs.track_id;",0.375,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
4,1,IPC033-291 v1,"SELECT T.song FROM Track T, Performs P WHERE T.track_id = P.track_id AND NOT EXISTS (   SELECT role FROM Performs P2 WHERE T.track_id = P2.track_id AND role='vocals' );",0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
5,1,IPC033-291 v1,"SELECT song, Track.track_id, role FROM Track, Performance WHERE Performs.track_id = Track.track_id  AND role != 'vocals' ;",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Catalog Error: Table with name Performance does not exist!Did you mean ""Performs""?. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
6,1,IPC033-291 v1,"SELECT songs, role FROM Track, Performs WHERE Performs.track_id= Track.track_id AND role != vocal AND Performs.artist_id IS NOT NULL ;",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""vocal"" not found in FROM clause!Candidate bindings: ""Performs.role""LINE 1: ...s.track_id= Track.track_id AND role != vocal AND Performs.artist_id IS NOT NUL...                                                  ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
7,1,IPC033-291 v1,SELECT T.song FROM Track T WHERE NOT EXISTS ( SELECT P.track_id FROM Preforms P WHERE P.role = 'vocals');,0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Catalog Error: Table with name Preforms does not exist!Did you mean ""Performs""?. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
8,1,IPC033-291 v1,SELECT song FROM Track T WHERE EXISTS ( SELECT * FROM Performs P WHERE P.track_id = T.track_id ) AND NOT EXISTS ( SELECT * FROM Performs P WHERE P.track_id = T.track_id AND role = 'vocals' ) ;,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
9,1,IPC033-291 v1,SELECT song FROM Track WHERE EXISTS ( SELECT * FROM Performs WHERE Performs.track_id=Track.track_id) AND NOT EXISTS ( SELECT * FROM Performs WHERE Performs.track_id=Track.track_id AND role='vocals');,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
10,1,IPC033-291 v1,SELECT T.song FROM Track T WHERE NOT EXISTS  (SELECT P.role FROM Performs P WHERE T.artist_id = P.artist_id AND role = 'vocals');,0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced table ""T"" not found!Candidate tables: ""P"". This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
11,1,IPC033-291 v1,"SELECT DISTINCT Track.song FROM Track, Performs WHERE Track.track_id = Performs.track_id AND NOT EXISTS ( SELECT * FROM Artist WHERE (Artist.artist_id = Performs.artist_id AND Performs.role = 'vocals') OR (Artist.artist_id = Performs.artist_id AND Performs.artist_id IS NULL));",0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
12,1,IPC033-291 v1,"Select T.song From Track T WHERE NOT EXISTS ( SELECT *  FROM Artist A, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id AND P.role = 'vocals´; );",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
13,1,IPC033-291 v1,"SELECT t.song FROM Track t, Performs p WHERE t.track_id = p.track_id AND NOT p.artist_id IN(   SELECT p.artist_id   FROM Performs p   WHERE p.role = 'vocals' ) HAVING COUNT(p.artist_id) > 0;",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""song"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(song)"" if the exact value of ""song"" is not important.LINE 1: SELECT t.song FROM Track t, Performs p WHERE t...               ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
14,1,IPC033-291 v1,"SELECT DISTINCT Track.song FROM Track, Performs WHERE Track.track_id = Performs.track_id AND NOT EXISTS (SELECT Performs.track_id FROM Performs WHERE Performs.role = ´vocals´ OR Performs.role IS NULL);",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""´vocals´"" not found in FROM clause!Candidate bindings: ""Performs.role"". This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
15,1,IPC033-291 v1,"SELECT Track.song FROM Track WHERE NOT EXISTS ( SELECT Performs.role FROM Performs WHERE Track.track_id = Performs.track_id AND Performs.role = ´vocals´);  -- since Performs.artist_id is a foreign key referencing to Artist.artist_id, where it is a primary key (as well), and primary keys are assumed to be NOT NULL, it seems unnecesarry to add this to the query",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced table ""Track"" not found!Candidate tables: ""Performs"". This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
16,1,IPC033-291 v1,"SELECT T.song FROM Track T, Performs P WHERE T.track_id = P.track_id AND NOT EXISTS(   SELECT track_id   FROM Performs   WHERE Track.track_id = Performs.track_id   AND Performs.role = 'vocals' ) AND T.track_id  IN (  SELECT track_id, COUNT(artist_id) AS known_artist_count  FROM Performs  GROUP BY track_id  HAVING known_artist_count > 0) -- Since I do not know if the schema fills in NULL or an arbitrary string like 'Artist unknown' when an artist for a role on a track is unknown I was unable to use IS NULL with certainty, if this is the intended solution it would be helpful if it were specified.",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced table ""Track"" not found!Candidate tables: ""Performs"". This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
17,1,IPC033-291 v1,SELECT song FROM Track  WHERE NOT EXISTS (SELECT * FROM Performs WHERE Performs.track_id = Track.track_id AND role = 'vocals')  AND NOT EXISTS (SELECT * FROM Performs WHERE Performs.track_id = Track.track_id AND role IS NULL);,0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
