Answer_original,Score_original,Score_final,score_difference
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1.0,1.0,0.0
SELECT T.song FROM Track T JOIN Album A ON T.album_id = A.album_id WHERE A.title = 'Nevermind';,1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Album.title = 'Nevermind' AND Track.album_id = Album.album_id;",1.0,1.0,0.0
"SELECT T.song FROM Track T, Album A WHERE T.album_id = A.album_id AND A.title = 'Nevermind';",1.0,1.0,0.0
SELECT song FROM Track WHERE album_id = 'Nevermind';,0.0,0.25,0.25
"SELECT song, album_id FROM Track, Album WHERE title = 'Nevermind' AND  Album.album_id= Track.album_id ;",0.0,0.25,0.25
SELECT T.song FROM Track T NATURAL JOIN Album A WHERE A.title = 'Nevermind';,1.0,1.0,0.0
SELECT song FROM Track NATURAL JOIN Album WHERE title = 'Nevermind';,1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id=Album.album_id AND Album.title='Nevermind';",1.0,1.0,0.0
SELECT song FROM Track T JOIN Album A ON T.album_id =  A.album_id WHERE A.title =  'Nevermind';,1.0,1.0,0.0
"SELECT DISTINCT Track.song FROM Album, Track WHERE Album.album_id = Track.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song FROM Track T, Album A WHERE T.album_id = A.album_id AND A.title = 'Nevermind';",0.0,0.25,0.25
"SELECT t.song FROM Track t, Album a WHERE a.album_id = t.album_id AND a.title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = ´Nevermind´;",0.8,0.25,-0.55
"SELECT Track.song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = ´Nevermind´;",0.8,0.25,-0.55
"SELECT T.song  FROM Track T, Album A WHERE T.album_id = A.album_id AND A.title = 'Nevermind'",1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1.0,1.0,0.0
SELECT song FROM Album WHERE Album.title = ´Nevermind´;,0.0,0.25,0.25
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
SELECT song FROM Track WHERE Track.album_id = Album.album_id WHERE Album.album_id (FROM Album SELECT title WHERE title = 'Nevermind');,0.0,0.0,0.0
"SELECT song FROM Album, Track WHERE Album.album_id = Track.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
JOIN Track*Album SELECT song FROM Track*Album WHERE title = 'Nevermind',0.0,0.0,0.0
"SELECT song FROM Track t, Album a WHERE t.album_id = a.album_id AND title = ´Nevermind´",0.8,0.25,-0.55
SELECT song  FROM Track t  INNER JOIN Album a ON t.album_id= a.album_id WHERE title = 'Nevermind';,1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track T, Album A WHERE T.album_id = A.album_id AND A.title = ´Nevermind´;",0.8,0.25,-0.55
"SELECT song FROM Track T, Album A WHERE T.album_id = A.album_id AND title = 'Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song FROM Track, Album WHERE Track.Album_id = Album.Album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Album.album_id = Track.album_id AND title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song  FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
"SELECT T.song FROM Track T, Album A WHERE A.album_id = T.album_id AND A.title = 'Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track, Album  WHERE Track.album_id = Album.album_id  AND Album.title = 'Nevermind';",1.0,1.0,0.0
"SELECT t.song FROM Album a, Track t WHERE a.album_id = t.album_id AND a.title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song FROM Track, Album WHERE Track.album_id=Album.album_id AND Album.title='Nevermind';",1.0,1.0,0.0
SELECT song FROM Track WHERE 'Nevermind' IN (SELECT title FROM Album WHERE Album.album_id = Track.album_id);,1.0,1.0,0.0
SELECT Track.song FROM Track WHERE album_id = 'Nevermind';,0.0,0.25,0.25
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
SELECT Track.song FROM Track JOIN Album ON Album.album_id = Track.album_id WHERE Album.title = 'Nevermind' GROUP BY Track.song,1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.album_id = 'Nevermind';",0.0,0.25,0.25
SELECT song FROM Track NATURAL JOIN Album WHERE title = ´Nevermind´;,0.8,0.25,-0.55
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
SELECT album_id FROM Album WHERE title = 'Nevermind'; SELECT song FROM Track WHERE album_id = Album.album_id;,0.0,0.25,0.25
"SELECT DISTINCT song  FROM Album, Track WHERE Album.album_id = Track.album_id AND Album.title = 'Nevermind';",1.0,1.0,0.0
"SELECT T.song FROM Track T, Album A WHERE T.album_id=A.album_id AND A.title='Nevermind';",1.0,1.0,0.0
SELECT song FROM Track JOIN Album ON Track.album_id = Album.album_id WHERE Album.title = ´Nevermind´;,0.8,0.25,-0.55
"SELECT T.song FROM Track T, Album A WHERE T.album_id = A.album_id AND A.title = 'Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1.0,1.0,0.0
"SELECT Track.song FROM Track, Album WHERE Track.album_id=Album.album_id AND Album.title='Nevermind';",1.0,1.0,0.0
"SELECT song FROM Track, Album WHERE Track.album_id=Album.album_id AND title='Nevermind';",1.0,1.0,0.0
