Org Defined ID,Answer_original,Score_original,Score_final,score_difference,filename
1,"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY COUNT(DISTINCT track_id) DESC;",0.0,0.25,0.25,289/quiz_graded_5_5.csv
1,SELECT song FROM Track WHERE NOT EXIST (  SELECT * FROM Performs  WHERE Performs.track_id = Track.track_id  AND role = 'vocals');,0.0,0.375,0.375,291/quiz_graded_5_5.csv
1,SELECT Performs.artist_id FROM Performs WHERE role = 'guitarist';,0.0,0.5,0.5,294/quiz_graded_5_5.csv
1,"WITH RECURSIVE managers(id) AS (   SELECT E.manager_nr AS id   FROM Employee E   WHERE E.employee_nr = 'U000001' UNION   SELECT E.manager_nr AS id   FROM managers M, Employee E   WHERE M.id = E.id   AND NOT E.manager_nr IS NULL )  SELECT * FROM managers;",0.0,0.25,0.25,309/quiz_graded_5_5.csv
2,"SELECT A.name, COUNT(P.tracks_id) AS least3 FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id GROUP BY A.name HAVING COUNT(P.tracks_id) >2 ORDER BY least3 DESC;",0.0,0.25,0.25,289/quiz_graded_5_5.csv
2,SELECT T.song FROM Track T JOIN Performs P ON T.track_id = P.track_id WHERE P.role <> 'vocals';,0.0,0.5,0.5,291/quiz_graded_5_5.csv
3,"SELECT song FROM Track, Performs WHERE NOT role = 'vocals' AND NOT artist_id = NULL AND Track.track_id =  Performs.track_id;",0.0,0.25,0.25,291/quiz_graded_5_5.csv
3,SELECT name FROM Artist WHERE death_date = NULL;,0.0,0.75,0.75,295/quiz_graded_5_5.csv
3,"(SELECT Employee1.employee_nr FROM Employee1, Employee2 WHERE Employee1.employee_nr = 'U000001' AND Employee1.employee_nr = Employee2.manager_nr) UNION (SELECT Employee1.employee_nr FROM Employee1, Employee2 WHERE  Employee1.employee_nr = Employee2.manager_nr);",0.0,0.25,0.25,309/quiz_graded_5_5.csv
4,"SELECT A.name, COUNT(T.*) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id GROUP BY A.name HAVING COUNT(T.*) >= 3 ORDER BY COUNT(T.*) DESC;",0.5,0.25,-0.25,289/quiz_graded_5_5.csv
4,"SELECT T.song FROM Track T, Performs P WHERE T.track_id = P.track_id AND NOT EXISTS (   SELECT role FROM Performs P2 WHERE T.track_id = P2.track_id AND role='vocals' );",0.0,0.5,0.5,291/quiz_graded_5_5.csv
4,"WITH RECURSION Managed(employee_nr) AS (   SELECT E.manager_nr AS employee_nr   FROM Employee E   WHERE E.employee_number = 'U000001' UNION   SELECT E.manager_nr AS employee_nr   FROM Managed M, Employee E   WHERE M.employee_nr = E.employee_nr   AND NOT E.manager_nr IS NULL ) SELECT * FROM Managed;",0.0,0.125,0.125,309/quiz_graded_5_5.csv
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.75,-0.050000000000000044,293/quiz_graded_5_5.csv
5,"SELECT song, Track.track_id, role FROM Track, Performance WHERE Performs.track_id = Track.track_id  AND role != 'vocals' ;",0.0,0.25,0.25,291/quiz_graded_5_5.csv
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.75,0.15000000000000002,294/quiz_graded_5_5.csv
5,SELECT name FROM Artist WHERE death_date = NULL;,0.0,0.75,0.75,295/quiz_graded_5_5.csv
