Org Defined ID,Answer_original,Score_original,Score_final,score_difference,filename,text,tree,,z,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__0_0.csv,0,0,not,,not
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__0_1.csv,0,1,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__0_2.csv,0,2,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__0_3.csv,0,3,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__0_4.csv,0,4,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__0_5.csv,0,5,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__1_0.csv,1,0,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__1_1.csv,1,1,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__1_2.csv,1,2,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__1_3.csv,1,3,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__1_4.csv,1,4,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__1_5.csv,1,5,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__2_0.csv,2,0,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__2_1.csv,2,1,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__2_2.csv,2,2,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__2_3.csv,2,3,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__2_4.csv,2,4,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__2_5.csv,2,5,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__3_0.csv,3,0,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__3_1.csv,3,1,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__3_2.csv,3,2,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__3_3.csv,3,3,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__3_4.csv,3,4,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__3_5.csv,3,5,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__4_0.csv,4,0,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__4_1.csv,4,1,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__4_2.csv,4,2,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__4_3.csv,4,3,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.75,-0.05,score_differences_293293__4_4.csv,4,4,ok,,ok
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.75,-0.05,score_differences_293293__4_5.csv,4,5,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__5_0.csv,5,0,,Irrelevant,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__5_1.csv,5,1,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__5_2.csv,5,2,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.25,-0.55,score_differences_293293__5_3.csv,5,3,,,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.75,-0.05,score_differences_293293__5_4.csv,5,4,,Irrelevant,
5,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.8,0.75,-0.05,score_differences_293293__5_5.csv,5,5,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__0_0.csv,0,0,not,,not
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__0_1.csv,0,1,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__0_2.csv,0,2,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__0_3.csv,0,3,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__0_4.csv,0,4,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__0_5.csv,0,5,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__1_0.csv,1,0,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__1_1.csv,1,1,,,
5,SELECT DISTINCT artist_id FROM Performs WHERE role = ´guitaist´;,0.6,0.25,-0.35,score_differences_294294__1_2.csv,1,2,,,
