Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
56,1,IPC033-54 v1,"SELECT unit_name FROM Unit, Employee WHERE supervisor=NULL AND Unit.unit_id = Employee.unit_id",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""supervisor"" not found in FROM clause!Candidate bindings: ""Employee.superv_nr""LINE 1: ...CT unit_name FROM Unit, Employee WHERE supervisor=NULL AND Unit.unit_id = Empl...                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
223,1,IPC033-54 v1,SELECT unit_name  FROM Unit  WHERE unit_id NOT IN (SELECT unit_id FROM Employee WHERE job = 'Dean');,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
176,1,IPC033-54 v1,SELECT unit_name  FROM Unit  WHERE unit_id NOT IN (SELECT unit_id FROM Employee WHERE name = 'Dean');,0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
89,1,IPC033-54 v1,SELECT unit_name FROM Unit WHERE unit_name NOT LIKE '%Dean%';,0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
116,1,IPC033-54 v1,SELECT unit_name  FROM Unit  WHERE unit_id NOT IN (SELECT unit_id FROM Employee WHERE job = 'Dean');,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
224,1,IPC033-54 v1,SELECT unit_name  FROM Unit u  WHERE NOT EXISTS (  SELECT 1  FROM Employee e  WHERE e.unit_id = u.unit_id AND e.job = 'Dean' ),1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
209,1,IPC033-54 v1,SELECT unit_name  FROM Unit  WHERE unit_id NOT IN (      SELECT unit_id      FROM Employee      WHERE job = 'Dean');   ,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
180,1,IPC033-54 v1,SELECT unit_name FROM Unit WHERE unit_name =! 'Dean';,0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Catalog Error: Scalar Function with name =! does not exist!Did you mean ""~""?LINE 1: ...CT unit_name FROM Unit WHERE unit_name =! 'Dean';                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
53,1,IPC033-54 v1,,0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
143,1,IPC033-54 v1,"SELECT unit_name  FROM Unit  WHERE NOT EXISTS (       SELECT *        FROM Unit U, Employee E       WHERE name = 'Dean?       AND U.unit_id = E.unit_id  );",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
138,1,IPC033-54 v1,SELECT DISTINCT Unit.unit_name   FROM Unit  WHERE NOT EXISTS (SELECT 1  FROM Employee  WHERE Unit.unit_id = Employee.unit_id AND Employee.job = 'Dean');,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
