Answer_original,Score_original,Score_final,score_difference
SELECT song FROM Track WHERE NOT EXIST (  SELECT * FROM Performs  WHERE Performs.track_id = Track.track_id  AND role = 'vocals');,0.0,0.375,0.375
SELECT T.song FROM Track T JOIN Performs P ON T.track_id = P.track_id WHERE P.role <> 'vocals';,0.0,0.5,0.5
"SELECT song FROM Track, Performs WHERE NOT role = 'vocals' AND NOT artist_id = NULL AND Track.track_id =  Performs.track_id;",0.0,0.25,0.25
"SELECT T.song FROM Track T, Performs P WHERE T.track_id = P.track_id AND NOT EXISTS (   SELECT role FROM Performs P2 WHERE T.track_id = P2.track_id AND role='vocals' );",0.0,0.5,0.5
"SELECT song, Track.track_id, role FROM Track, Performance WHERE Performs.track_id = Track.track_id  AND role != 'vocals' ;",0.0,0.25,0.25
"SELECT songs, role FROM Track, Performs WHERE Performs.track_id= Track.track_id AND role != vocal AND Performs.artist_id IS NOT NULL ;",0.0,0.25,0.25
SELECT T.song FROM Track T WHERE NOT EXISTS ( SELECT P.track_id FROM Preforms P WHERE P.role = 'vocals');,0.0,0.25,0.25
SELECT song FROM Track T WHERE EXISTS ( SELECT * FROM Performs P WHERE P.track_id = T.track_id ) AND NOT EXISTS ( SELECT * FROM Performs P WHERE P.track_id = T.track_id AND role = 'vocals' ) ;,1.0,1.0,0.0
SELECT song FROM Track WHERE EXISTS ( SELECT * FROM Performs WHERE Performs.track_id=Track.track_id) AND NOT EXISTS ( SELECT * FROM Performs WHERE Performs.track_id=Track.track_id AND role='vocals');,1.0,1.0,0.0
SELECT T.song FROM Track T WHERE NOT EXISTS  (SELECT P.role FROM Performs P WHERE T.artist_id = P.artist_id AND role = 'vocals');,0.0,0.25,0.25
"SELECT DISTINCT Track.song FROM Track, Performs WHERE Track.track_id = Performs.track_id AND NOT EXISTS ( SELECT * FROM Artist WHERE (Artist.artist_id = Performs.artist_id AND Performs.role = 'vocals') OR (Artist.artist_id = Performs.artist_id AND Performs.artist_id IS NULL));",0.0,0.5,0.5
"Select T.song From Track T WHERE NOT EXISTS ( SELECT *  FROM Artist A, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id AND P.role = 'vocals´; );",0.0,0.0,0.0
"SELECT t.song FROM Track t, Performs p WHERE t.track_id = p.track_id AND NOT p.artist_id IN(   SELECT p.artist_id   FROM Performs p   WHERE p.role = 'vocals' ) HAVING COUNT(p.artist_id) > 0;",0.0,0.25,0.25
"SELECT DISTINCT Track.song FROM Track, Performs WHERE Track.track_id = Performs.track_id AND NOT EXISTS (SELECT Performs.track_id FROM Performs WHERE Performs.role = ´vocals´ OR Performs.role IS NULL);",0.0,0.25,0.25
"SELECT Track.song FROM Track WHERE NOT EXISTS ( SELECT Performs.role FROM Performs WHERE Track.track_id = Performs.track_id AND Performs.role = ´vocals´);  -- since Performs.artist_id is a foreign key referencing to Artist.artist_id, where it is a primary key (as well), and primary keys are assumed to be NOT NULL, it seems unnecesarry to add this to the query",0.3,0.25,-0.04999999999999999
"SELECT T.song FROM Track T, Performs P WHERE T.track_id = P.track_id AND NOT EXISTS(   SELECT track_id   FROM Performs   WHERE Track.track_id = Performs.track_id   AND Performs.role = 'vocals' ) AND T.track_id  IN (  SELECT track_id, COUNT(artist_id) AS known_artist_count  FROM Performs  GROUP BY track_id  HAVING known_artist_count > 0) -- Since I do not know if the schema fills in NULL or an arbitrary string like 'Artist unknown' when an artist for a role on a track is unknown I was unable to use IS NULL with certainty, if this is the intended solution it would be helpful if it were specified.",0.0,0.25,0.25
SELECT song FROM Track  WHERE NOT EXISTS (SELECT * FROM Performs WHERE Performs.track_id = Track.track_id AND role = 'vocals')  AND NOT EXISTS (SELECT * FROM Performs WHERE Performs.track_id = Track.track_id AND role IS NULL);,0.5,0.5,0.0
"SELECT DISTINCT songs FROM Track T, Performs P, Artist A WHERE T.track_id=P.track.id AND A.artist_id=P.artist_id  AND NOT EXISTS(SELECT P.artist_id FROM Performs P WHERE T.track_id=P.track.id  AND P.role=´vocals´);",0.0,0.25,0.25
SELECT song FROM Track  WHERE NOT EXISTS (    SELECT role   FROM Performs   WHERE Performs.track_id = Track.track_id AND Performs.role = 'vocals' AND Performs.artist_id IS NOT NULL   );,0.5,0.5,0.0
SELECT song FROM Track WHERE Track.track_id = Performs.track_id  WHERE Performs.track_id (FROM Performs SELECT role WHERE role != 'vocals');,0.0,0.0,0.0
"SELECT song FROM Track, Performs, Artist WHERE Performs.artist_id = Artist.artist_id  AND Performs.track_id = Track.track_id  AND NOT Performs.role = 'vocals' AND Performs.artist_id IS NOT NULL;",0.0,0.5,0.5
SELECT Track.song FROM Track WHERE NOT EXISTS (   SELECT *   FROM Performs   WHERE Track.track_id = Performs.track_id   AND Performs.role = 'vocals' );,0.5,0.5,0.0
JOIN Track*Performs SELECT songs FROM Track*Peforms WHERE artist_id IS NOT NULL AND role IS NULL,0.0,0.0,0.0
"SELECT song FROM Track, Performs WHERE Track.track_id = Performs.track_id AND role <> ´vocals´",0.0,0.25,0.25
SELECT song  FROM Track t WHERE track_id NOT IN (  SELECT track_id FROM Performs p  WHERE role = 'vocals' AND artist_id is NULL);,0.0,0.5,0.5
SELECT song FROM Track WHERE NOT EXISTS ( SELECT role FROM Performs WHERE Track.track_ID = Performs.track_id AND role = 'vocals' OR artist_id IS NULL );,0.5,0.5,0.0
"SELECT DISTINCT song FROM Track WHERE NOT EXISTS (SELECT * FROM Performs, Artist WHERE Track.track_id = Performs.track_id AND Performs.artist_id = Artist.artist_id AND role = 'vocals' AND name IS NOT NULL);",0.5,0.5,0.0
"SELECT DISTINCT song FROM Track T, Artist A, Performs P WHERE T.track_id = P.track_id AND A.artist_id = P.artist_id AND P.role <> ´vocals´ AND A.name IS NOT NULL;",0.0,0.25,0.25
SELECT song FROM Track T WHERE NOT EXISTS ( -- no vocals SELECT * FROM Performs P WHERE T.track_id = P.track_id AND role = 'vocals') AND T.track_id IN ( -- must have a known artist SELECT P.track_id FROM Performs P);,1.0,0.0,-1.0
SELECT song FROM Track WHERE NOT EXISTS (   SELECT *   FROM Performs   WHERE Performs.track_id = Track.track_id   AND role = 'vocals' );,0.5,0.5,0.0
"SELECT Track.song FROM Track, Performs WHERE NOT EXISTS (SELECT * FROM Performs WHERE Performs.role = 'vocals' AND Performs.track_id = Track.track_id)  AND NOT EXISTS (SELECT * FROM Performs WHERE Performs.artist_id = NULL AND Performs.track_id = Track.track_id);",0.0,0.5,0.5
SELECT DISTINCT song FROM Track WHERE NOT EXISTS( SELECT role FROM Performs WHERE Performs.track_id = Track.track_id AND (role = 'vocals' OR role IS NULL)) AND EXISTS( SELECT role FROM Performs WHERE Performs.track_id = Track.track_id);,1.0,1.0,0.0
SELECT song FROM Track WHERE NOT 'vocals' IN ( SELECT role FROM Performs  WHERE Track.track_id = Performs.track_id AND Performs.artist_id IS NOT NULL );,0.5,0.5,0.0
