Org Defined ID,Q #,Answer,Score,Feedback
1,9,"SELECT Theme.theme_id, Theme.name  FROM Teacher, Theme  WHERE Teacher.teacher_id = Theme.teacher_id AND Teacher.name = 'Djoerd Hiemstra';",1.00,"""Correct."""
2,9,"SELECT theme_id, Theme.name from Teacher, Theme Where Teacher.teacher_id=Theme.teacher_id AND Teacher.name='Djoerd Hiemstra'",1.00,"""Correct."""
3,9,"D SELECT Theme.theme_id, Theme.name   FROM Teacher, Theme   WHERE Teacher.teacher_id = Theme.teacher_id      AND Teacher.name = 'Djoerd Hiemstra';",0.97,"""Semantics minor error. Maybe you meant ''?
### Additional Information:
Syntax Analysis: Syntax minor error. The query was changed to 'select theme.theme_id, theme.name from teacher, theme where teacher.teacher_id = theme.teacher_id and teacher.name = 'djoerd hiemstra' ' make it parseable.

"""
4,9,"SELECT Theme('theme_id, name) WHERE Teacher = 'Djoerd Hiermstra'",0.00,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
5,9,"SELECT * FROM Teacher, Theme WHERE Theme.name = 'Djoerd Hiemstra'",0.20,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- FROM clause

There are issues with the following clauses:
- SELECT clause
- WHERE clause

Details of the problems:
SELECT clause: Columns: Mismatch in selected columns.

WHERE clause: Condition type mismatch.


Next steps:
- Review and correct the SELECT clause.
- Review and correct the WHERE clause.

"""
6,9,"SELECT Theme.name  FROM Teacher, Theme WHERE Teacher.name = 'Djoerd Hiemstra' ",0.20,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- FROM clause

There are issues with the following clauses:
- SELECT clause
- WHERE clause

Details of the problems:
SELECT clause: Columns: Mismatch in selected columns.

WHERE clause: Condition type mismatch.


Next steps:
- Review and correct the SELECT clause.
- Review and correct the WHERE clause.

"""
7,9,"SELECT * FROM Teacher, Theme WHERE Teacher.name='Djoerd Hiemstra';",0.20,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- FROM clause

There are issues with the following clauses:
- SELECT clause
- WHERE clause

Details of the problems:
SELECT clause: Columns: Mismatch in selected columns.

WHERE clause: Condition type mismatch.


Next steps:
- Review and correct the SELECT clause.
- Review and correct the WHERE clause.

"""
8,9," SELECT * FROM Teacher, Theme  WHERE Teacher.teacher_id = Theme.teacher_id  AND Teacher.name =  'Djoerd Hiemstra';",0.31,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- FROM clause
- WHERE clause

There are issues with the following clauses:
- SELECT clause

Details of the problems:
SELECT clause: Columns: Mismatch in selected columns.


Next steps:
- Review and correct the SELECT clause.

"""
9,9,"SELECT  Theme.theme_id, Theme.name FROM Teacher, Theme WHERE Teacher.teacher_id = Theme.teacher_id AND Teacher.name = 'Djoerd Hiemstra';",1.00,"""Correct."""
10,9,"SELECT * FROM Theme.theme_id, Theme.name FROM Teacher JOIN Theme ON Teacher.teacher_id = Theme.teacher_id WHERE Teacher.name = 'Djoerd Hiemstra';",0.00,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
11,9,"SELECT theme.theme_id , theme.name FROM Teacher, Theme WHERE teacher.name='Djoerd Hiemstra' AND Teacher.teacher_id = Theme.teacher_id;",1.00,"""Correct."""
12,9,"SELECT theme_id, Theme.name FROM Theme, Teacher WHERE Theme.teacher_id = Teacher.teacher_id AND Teacher.name = 'Djoerd Hiemstra' ",1.00,"""Correct."""
