Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
265,1,1h,SELECT Track.song FROM Track JOIN Album ON Album.album_id = Track.album_id WHERE Album.title = 'Nevermind';,1,1,"""🟢 Correct."""
266,1,1h,"""SELECT T.song FROM Track T, Album A WHERE T.album_id = A.album_id AND T.title = 'Nevermind'""",0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT t.song FROM Track t, Album a WHERE t.album_id = a.album_id AND a.title = 'Nevermind';'?
"""
267,1,1h,"""SELECT song  FROM Album, Track WHERE Album.album_id = Track.album_id AND Album.title = 'Nevermind';""",1,1,"""🟢 Correct."""
268,1,1h,"""SELECT Track.song FROM Track, Album WHERE Album.title='Nevermind' AND Album.album_id=Track.album_id;""",1,1,"""🟢 Correct."""
269,1,1h,"""SELECT T.song FROM Album A, Track T WHERE A.album_id = T.album_id AND A.title = ´Nevermind´;""",0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT T.song FROM Album A, Track T WHERE A.album_id = T.album_id AND A.title = 'Nevermind';'?
"""
270,1,1h,SELECT T.song FROM Track T JOIN Album A ON A.album_id = T.album_id WHERE A.title = 'Nevermind';,1,1,"""🟢 Correct."""
271,1,1h,SELECT Track.song  FROM Track  JOIN Album ON Track.album_id = Album.album_id  WHERE Album.title = 'Nevermind';,1,1,"""🟢 Correct."""
272,1,1h,SELECT song FROM Album WHERE Album.title = 'Nevermind';,0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'album' and 'track'
 ● Select 'song', 
 ● Filter data where (album.album_id = track.album_id and album.title = Nevermind)

2️⃣ Correct Clauses:
✅ SELECT clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ FROM clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'track'.
● Joins: Mismatch in the number of joins.


4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.

"""
273,1,1h,"""SELECT T.song FROM Track T, Album A WHERE A.title = 'Nevermind' AND A.album_id = T.album_id;""",1,1,"""🟢 Correct."""
274,1,1h,SELECT T.song FROM Album A JOIN Track T ON T.album_id = A.album_id WHERE A.title = 'Nevermind';,1,1,"""🟢 Correct."""
275,1,1h,"""SELECT Track.song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = ´Nevermind´;""",0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT Track.song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';'?
"""
276,1,1h,SELECT song FROM Track WHERE album_id EXISTS IN (SELECT album_id FROM Album WHERE title = 'Nevermind';,0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
277,1,1h,"""SELECT Track.song FROM Track, Album WHERE Track.album_id = Album.album_id AND Album.title = 'Nevermind';""",1,1,"""🟢 Correct."""
278,1,1h,"""SELECT T.song  FROM Track T, Album A WHERE T.album_id=A.album_id  AND A.title='Nevermind';""",1,1,"""🟢 Correct."""
279,1,1h,"""SELECT Track.song FROM Track, Album WHERE ( Track.album_id = Album.album_id AND Album.title = 'Nevermind');""",1,1,"""🟢 Correct."""
280,1,1h,"""SELECT song  FROM Track, Album WHERE Album.title = 'Nevermind' AND Album.album_id = Track.album_id;""",1,1,"""🟢 Correct."""
281,1,1h,SELECT song  FROM Track  WHERE album_id=  ( SELECT album_id  FROM Album  WHERE title='Nevermind'  ) ;,1,1,"""🟢 Correct."""
282,1,1h,"""SELECT song FROM Title, Album WHERE Title.album_id = Album.album_id AND title = 'Nevermind';""",0.2,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'album' and 'track'
 ● Select 'song', 
 ● Filter data where (album.album_id = track.album_id and album.title = Nevermind)

2️⃣ Correct Clauses:
✅ SELECT clause

3️⃣ Issues found in the following clauses:
❌ FROM clause
❌ WHERE clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'track'.
● Extra tables: 'title'.

2. WHERE clause: ● Mismatch in conditions within AND clause.
● Expected conditions: SIMPLE:Nevermind=album.title; SIMPLE:album.album_id=track.album_id; 
 ● Found conditions: SIMPLE:Nevermind=title; SIMPLE:album.album_id=title.album_id; 
 ● 

4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.

"""
283,1,1h,SELECT Track.song FROM Track WHERE Album.title = 'Nevermind',0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'album' and 'track'
 ● Select 'song', 
 ● Filter data where (album.album_id = track.album_id and album.title = Nevermind)

2️⃣ Correct Clauses:
✅ SELECT clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ FROM clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'album'.
● Joins: Mismatch in the number of joins.


4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.

"""
284,1,1h,"""SELECT Track.song FROM Track, Album WHERE Album.title = 'Nevermind' AND Album.album_id = Track.album_id;""",1,1,"""🟢 Correct."""
285,1,1h,"""SELECT t.song FROM Track t, Album l WHERE l.title = """"Nevermind"""" AND t.ablum_id = l.album_id;""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'album' and 'track'
 ● Select 'song', 
 ● Filter data where (album.album_id = track.album_id and album.title = Nevermind)

2️⃣ Correct Clauses:
✅ SELECT clause
✅ FROM clause

3️⃣ Issues found in the following clauses:
❌ WHERE clause

❗ Problem Details:
1. WHERE clause: ● Mismatch in conditions within AND clause.
● Expected conditions: SIMPLE:Nevermind=album.title; SIMPLE:album.album_id=track.album_id; 
 ● Found conditions: SIMPLE:Nevermind=album.title; SIMPLE:album.album_id=track.ablum_id; 
 ● 

4️⃣ Next steps:
➡️ Review your WHERE clause conditions to match the specified requirements.

"""
