Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,7,"SELECT role, count(*) FROM Writes WHERE role IS NOT NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
2,1,7,"SELECT writes.role, COUNT(*) as role_count FROM writes WHERE writes.role IS NOT NULL GROUP BY writes.role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
3,1,7,"SELECT role, COUNT(*) FROM Writes WHERE role IS NOT NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
4,1,7,"SELECT role, COUNT(*) AS occurrences FROM Writes WHERE role NOTNULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
5,1,7,"SELECT role, COUNT(*) AS total_roles FROM Writes WHERE NOT role IS NULL GROUP BY Writes.role; ",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
6,1,7,"SELECT role, COUNT (*) FROM Writes WHERE NOT role IS NULL GROUP BY role ;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
7,1,7,"SELECT role,count(*) AS Writer_count FROM Writes WHERE NOT role is NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
8,1,7,"SELECT role, COUNT(*) FROM Writes WHERE NOT role IS NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
9,1,7,"SELECT role, COUNT(*) AS role_count FROM Writes WHERE role IS NOT NULL AND role <> 'unknown' GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
239,1,7,"SELECT role, COUNT(*) AS role_count FROM Writes WHERE role <> 'unknown' GROUP BY role ORDER BY role_count DESC;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
10,1,7,"SELECT role, COUNT(*) FROM Writes WHERE NOT role IS NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
11,1,7,"SELECT role, COUNT(*) FROM Writes WHERE NOT role IS NULL GROUP BY role",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
12,1,7,"SELECT role, COUNT(*)  FROM Writes WHERE role IS NOT NULL GROUP BY role; ",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
13,1,7,"SELECT role, COUNT(*) FROM writes GROUP BY role HAVING ROLE IS NOT NULL;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
14,1,7,"SELECT role, COUNT(*) FROM Writes WHERE NOT role IS NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
15,1,7,"SELECT role, COUNT(*) FROM Writes WHERE NOT role IS NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
16,1,7,"SELECT role, COUNT(*) FROM Writes WHERE NOT role IS NULL GROUP BY role;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
