id,query,syntax,semantic,results,correctness level,normalized value,,,
115,,1,0,0,2,0.142857,,,
121,,1,0,0,2,0.142857,,,
133,,1,0,0,2,0.142857,,,
148,,1,0,0,2,0.142857,,,
15,,1,0,0,2,0.142857,,,
150,,1,0,0,2,0.142857,,,
152,,1,0,0,2,0.142857,,,
154,,1,0,0,2,0.142857,,,
163,,1,0,0,2,0.142857,,,
17,,1,0,0,2,0.142857,,,
170,,1,0,0,2,0.142857,,,
210,,1,0,0,2,0.142857,,,
223,,1,0,0,2,0.142857,,,
228,,1,0,0,2,0.142857,,,
251,,1,0,0,2,0.142857,,,
274,,1,0,0,2,0.142857,,,
279,,1,0,0,2,0.142857,,,
298,,1,0,0,2,0.142857,,,
303,,1,0,0,2,0.142857,,,
315,,1,0,0,2,0.142857,,,
317,,1,0,0,2,0.142857,,,
319,,1,0,0,2,0.142857,,,
323,,1,0,0,2,0.142857,,,
324,,1,0,0,2,0.142857,,,
334,,1,0,0,2,0.142857,,,
54,,1,0,0,2,0.142857,,,
57,,1,0,0,2,0.142857,,,
65,,1,0,0,2,0.142857,,,
71,,1,0,0,2,0.142857,,,
92,,1,0,0,2,0.142857,,,
83," SELECT * FROM Performs, Track, Artist WHERE duration>300 AND Track.track_id=Performs.track_id AND name='Queen' AND Artist.artist_id=Performs.artist_id;",1,1,1,8,1,,,
6," SELECT * FROM Track T, Performs P, Artist A WHERE T.duration > 300 AND A.name = 'Queen' AND T.track_id = P.track_id AND A.artist_id = P.artist_id;",1,1,1,8,1,,,
13," SELECT * FROM Track, Performs, Artist WHERE duration > 300 AND name = 'Queen' AND Performs.track_id = Track.track_id and Performs.artist_id = Artist.artist_id;",1,1,1,8,1,,,
56,(SELECT* FROM Track WHERE duration>300) UNION (SELECT* FROM Artist WHERE name= 'Queen'),1,0,0,2,0.142857,,,
342,-,0,0,0,1,0,,,
218,"-- Track.track_title in database but Track.title in introduction for some reason. SELECT Track.track_title FROM Track, Artist WHERE Performs.artist_id=Artist.artist_id AND Track.track_id=Performs.track_id AND Track.duration>300;",1,0,0,2,0.142857,,,
267,=,0,0,0,1,0,,,
343,D SELECT * > FROM Track > NATURAL JOIN Performs > NATURAL JOIN Artist > WHERE Track.duration > 300 > AND Artist.name = 'Queen';,0,0,0,1,0,,,
82,"D SELECT * FROM Track, Performs, Artist WHERE name = 'Queen' AND duration > 300 AND Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id;",0,0,0,1,0,,,
336,"D SELECT * FROM Track,Performs,Artist WHERE Track.duration > 300 or Artist.name = 'Queen';",0,0,0,1,0,,,
53,"FROM Track, Performs, Artists WHERE Track.duration>300 AND Artist.name=Queen AND Track.name=Performs.name=Artist.name;",0,0,0,1,0,,,
159,"SELECT *	 FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id AND duration > 300 AND name = 'Queen';",1,1,1,8,1,,,
225,"SELECT * > FROM Track, Performs, Artist > WHERE Track.duration>300 > AND Artist.name='Queen' > AND Performs.track_id=Track.track_id > AND Performs.artist_id=Artist.artist_id;",0,0,0,1,0,,,
291,"SELECT * FROM (SELECT * FROM Track WHERE duration > 300) AS TrackLong(track_id, album_id, title, duration,popularity,explicit), Performs, (SELECT * FROM Artist WHERE name = 'Queen') AS Queen(artist_id, name) WHERE Queen.artist_id = Performs.artist_id AND TrackLong.track_id = Performs.track_id;",1,1,1,8,1,,,
289,SELECT * FROM (SELECT * FROM Track WHERE duration > 300) NATURAL JOIN Performs NATURAL JOIN (SELECT * FROM Artist WHERE name = 'Queen');,0,0,0,1,0,,,
188,SELECT * FROM (SELECT * FROM Track WHERE duration>300) NATURAL JOIN Performs NATURAL JOIN (SELECT * FROM Artist WHERE name='Queen');,0,0,0,1,0,,,
249,SELECT * FROM (SELECT * FROM Track WHERE duration>300) NATURAL JOIN Performs NATURAL JOIN (SELECT * FROM Artist WHERE name='Queen');,0,0,0,1,0,,,
196,SELECT * FROM Artist JOIN Writes ON Artist.artist_id = Writes.artist_id JOIN Track ON Track.track_id = Writes.track_id WHERE Track.track_title = 'Californication';,1,0,0,2,0.142857,,,
117,SELECT * FROM Artist NATURAL JOIN Performs NATURAL JOIN Track WHERE Artist.name='Queen' AND Track.duration>300;,1,0,0,2,0.142857,,,
286,SELECT * FROM Artist NATURAL JOIN Performs NATURAL JOIN Track WHERE name='Queen' AND duration>300;,1,0,0,2,0.142857,,,
266,SELECT * FROM Artist WHERE Track.duration > 300 AND Artist.name='Queen',1,0,0,2,0.142857,,,
31,"SELECT * FROM Artist, Perform, Track WHERE Track.duration >300 AND Track.track_id = Perform.track_id AND Perform.artist_id = Artist.artist_id AND Artist.artist_name = 'Queen';",1,0,0,2,0.142857,,,
75,"SELECT * FROM Artist, Performs, Track WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id AND name = 'Queen' AND duration > 300;",1,1,1,8,1,,,
207,"SELECT * FROM Artist, Performs, Track WHERE Track.track_id = Performs.track_id AND Performs.artist_id = Artist.artist_id AND Track.duration > 300 AND Artist.name = 'Queen';",1,1,1,8,1,,,
344,"SELECT * FROM Artist, Track, Performs WHERE Track.duration > 300 AND Artist.name = 'Queen' AND Performs.artist_id = Artist.artist_id AND Performs.track_id = Track.track_id;",1,1,1,8,1,,,
5,"SELECT * FROM Artist,Track, Performs WHERE Artist.name = 'Queen' AND Track.duration > 300 AND Track.track_id = Performs.track_id AND Performs.artist_id = Artist.artist_id;",1,1,1,8,1,,,
288,SELECT * FROM Performs NATURAL JOIN Track NATURAL JOIN Artist WHERE Artist.name = 'Queen' AND Track.duration > 300;,1,0,0,2,0.142857,,,
310,SELECT * FROM Performs WHERE duration>300 AND name='Queen',1,0,0,2,0.142857,,,
308,"SELECT * FROM Performs, (SELECT * FROM Track WHERE duration > 300),(SELECT * FROM Artist WHERE name = 'Queen') WHERE Artist.artist_id = Track.artist_id",0,0,0,1,0,,,
67,"SELECT * FROM Performs, Artist, Track WHERE Artist.name = 'Queen' AND Performs.artist_id = Artist.artist_id AND Track.track_id = Performs.track_id AND Track.duration > 300;",1,1,1,8,1,,,
226,"SELECT * FROM Performs, Artist, Track WHERE Track.duration > 300 AND Artist.name = 'Queen' AND Performs.artist_id = Artist.artist_id AND Track.track_id = Performs.track_id ; ",1,1,1,8,1,,,
258,"SELECT * FROM TRACK NATURAL JOIN Performs, Artist WHERE duration >300 AND Artist.name='Queen'; ",1,0,0,2,0.142857,,,
23,SELECT * FROM Track INNER JOIN Performs ON (Track.track_id = Performs.track_id) INNER JOIN Artist ON (Performs.Artist_id = Artist.Artist_id) WHERE Track.duration > 300 AND Artist.name = 'Queen';,1,1,1,8,1,,,
116,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Artist.artist_id = Performs.artist_id WHERE Track.duration > 300 AND Artist.name = 'Queen';,1,1,1,8,1,,,
49,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Artist.artist_id = Performs.artist_id WHERE duration>300 AND name='Queen',1,1,1,8,1,,,
271,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE Artist.name = 'Queen' AND Track.duration > 300;,1,1,1,8,1,,,
311,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE Track.duration > 300 AND Artist.name ='Queen';,1,1,1,8,1,,,
309,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE duration>300 AND Artist.name = 'Queen';,1,1,1,8,1,,,
131,SELECT * FROM Track JOIN Performs ON Track.track_id = Performs.track_id JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE duration > 300 AND name = 'Queen';,1,1,1,8,1,,,
