Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
56,1,IPC033-57 v1,idk,0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
223,1,IPC033-57 v1,"WITH RECURSIVE ChainOfCommand AS (      SELECT emp_nr, superv_nr, name, job      FROM Employee      WHERE emp_nr = 'U333333'       UNION ALL       SELECT e.emp_nr, e.superv_nr, e.name, e.job      FROM Employee e      JOIN ChainOfCommand c ON e.emp_nr = c.superv.nr  )  SELECT name, job  FROM ChainOfCommand;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Values list ""c"" does not have a column named ""superv"". This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
176,1,IPC033-57 v1,"WITH RECURSIVE Supervisor(nr) AS   (  SELECT E.superv_nr AS nr   FROM Employee E   WHERE E.emp_nr = 'U333333'   UNION   SELECT E.superv_nr AS nr   FROM Supervisor S, Employee E   WHERE S.superv_nr = E.emp_nr  AND NOT E.superv_nr IS NULL  )  SELECT name, job FROM Supervisor;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Values list ""S"" does not have a column named ""superv_nr"". This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
89,1,IPC033-57 v1,,0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
116,1,IPC033-57 v1,,0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
224,1,IPC033-57 v1,"WITH RECURSIVE SupervisorChain AS (  SELECT emp_nr, superv_nr, name, job  FROM Employee  WHERE emp_nr = 'U333333'  UNION ALL  SELECT e.emp_nr, e.superv_nr, e.name, e.job  FROM Employee e  JOIN SupervisorChain sc ON e.emp_nr = sc.superv_nr )  SELECT name, job  FROM SupervisorChain",0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
209,1,IPC033-57 v1,"WITH RECURSIVE SupervisorChain AS (      SELECT emp_nr, superv_nr, name, job      FROM Employee      WHERE emp_nr = 'U333333'      UNION ALL      SELECT e.emp_nr, e.superv_nr, e.name, e.job      FROM Employee      INNER JOIN SupervisorChain sc ON e.emp_nr = sc.superv_nr)  SELECT name, job FROM SupervisorChain WHERE emp_nr != 'U333333';   ",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced table ""e"" not found!Candidate tables: ""Employee"", ""sc"". This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
180,1,IPC033-57 v1,"WITH RecursiveSupervisors AS (   SELECT emp_nr, name, job, superv_nr   FROM Employee   WHERE emp_nr = 'U333333'      UNION ALL      SELECT e.emp_nr, e.name, e.job, e.superv_nr   FROM Employee e   JOIN RecursiveSupervisors rs ON e.emp_nr = rs.superv_nr  )  SELECT name, job  FROM RecursiveSupervisors;   ",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Catalog Error: Table with name RecursiveSupervisors does not exist!Did you mean ""pg_views""?. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
53,1,IPC033-57 v1,,0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
143,1,IPC033-57 v1,"WITH RECURSIVE supervisor_of_U333333 AS (  SELECT E2.job, E2.name  FROM Employee AS E1, Employee AS E2  WHERE E1.emp_nr = 'U333333'  AND E1.superv_nr = E2.emp_nr  UNION  SELECT E.job, E.name  FROM supervisor_of_U333333 S, Employee E  WHERE S.superv_nr = E.emp_nr  AND NOT S.suoerv_nr IS NULL  )  SELECT * FROM supervisor_of_U333333;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Values list ""S"" does not have a column named ""superv_nr"". This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
