Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
265,1,1f,SELECT DISTINCT Artist.artist_id FROM Artist JOIN Performs ON Performs.artist_id = Artist.artist_id WHERE Performs.role = 'guitarist';,1,1,"""🟢 Correct."""
266,1,1f,"""SELECT A.artist_id FROM Artist A, Performs P WHERE A.artist_id = P.artist_id AND P.role = 'guitarist'""",0.4857142857142857,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'performs', 
 ● Select 'artist_id', 
 ● Filter data where role = guitarist

2️⃣ Correct Clauses:
✅ FROM clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause

❗ Problem Details:
1. SELECT clause: ● Missing DISTINCT keyword.


4️⃣ Next steps:
➡️ Add the DISTINCT keyword to eliminate duplicate rows in your SELECT clause.

5️⃣ Additional Information:
● Results Analysis: Correct results are contained within the query results.

"""
267,1,1f,"""SELECT DISTINCT artist_id  FROM Artist, Performs  WHERE Artist.artist_id = Performs.artist_id  AND Performs.role = 'guitarist';""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'performs', 
 ● Select 'artist_id', 
 ● Filter data where role = guitarist

2️⃣ Correct Clauses:
✅ FROM clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected columns.
● Missing columns: 'artist.artist_id'.
● Extra columns: 'artist_id'.


4️⃣ Next steps:
➡️ Add the missing columns: 'artist.artist_id' to your SELECT clause.
➡️ Remove the extra columns: 'artist_id' from your SELECT clause.

"""
268,1,1f,SELECT DISTINCT artist_id FROM Performs WHERE role='guitarist';,1,1,"""🟢 Correct."""
269,1,1f,"""SELECT DISTINCT A.artist_id FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND T.track_id = P.track_id AND P.role = ´guitarist´;""",0.2,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'performs', 
 ● Select 'artist_id', 
 ● Filter data where role = guitarist

2️⃣ Correct Clauses:
✅ SELECT clause

3️⃣ Issues found in the following clauses:
❌ FROM clause
❌ WHERE clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Extra tables: 'track'.
● Joins: Mismatch in the number of joins.

2. WHERE clause: 
 ● Condition type mismatch: Expected SIMPLE, but found AND.


4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.

"""
270,1,1f,SELECT artist_id FROM Artist.A JOIN Performs P ON P.artist_id = A.artist_id WHERE P.role = 'guitarist';,0.2,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'performs', 
 ● Select 'artist_id', 
 ● Filter data where role = guitarist

2️⃣ Correct Clauses:
✅ SELECT clause

3️⃣ Issues found in the following clauses:
❌ FROM clause
❌ WHERE clause
❌ GROUP BY clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Extra tables: 'a'.
● Joins: Mismatch in the number of joins.

2. WHERE clause: ● Operands mismatch in condition 'role = guitarist'.
● Expected operands: 'role' and 'guitarist'.
● Found operands: 'performs.role' and 'guitarist'.

3. GROUP BY clause: GROUP BY clause missing

4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.
➡️ Review the GROUP BY clause to ensure you are grouping by the correct columns or expressions.

"""
271,1,1f,SELECT DISTINCT Performs.artist_id  FROM Performs  WHERE Performs.role = 'guitarist';,1,1,"""🟢 Correct."""
272,1,1f,"""SELECT DISTINCT artist_id FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id AND Performs.role = 'guitarist';""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'performs', 
 ● Select 'artist_id', 
 ● Filter data where role = guitarist

2️⃣ Correct Clauses:
✅ FROM clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected columns.
● Missing columns: 'artist.artist_id'.
● Extra columns: 'artist_id'.


4️⃣ Next steps:
➡️ Add the missing columns: 'artist.artist_id' to your SELECT clause.
➡️ Remove the extra columns: 'artist_id' from your SELECT clause.

"""
273,1,1f,SELECT DISTINCT P.artist_id FROM Performs P WHERE P.role = 'guitarist';,1,1,"""🟢 Correct."""
274,1,1f,SELECT DISTINCT artist_id FROM Performs WHERE role = 'guitarist';,1,1,"""🟢 Correct."""
