Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-289 v1,"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY COUNT(DISTINCT track_id) DESC;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""track_id"" (use: ""Performs.track_id"" or ""Track.track_id""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
2,1,IPC033-289 v1,"SELECT A.name, COUNT(P.tracks_id) AS least3 FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id GROUP BY A.name HAVING COUNT(P.tracks_id) >2 ORDER BY least3 DESC;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Table ""P"" does not have a column named ""tracks_id""LINE 1: ...artist_id GROUP BY A.name HAVING COUNT(P.tracks_id) >2 ORDER BY least3 DESC;                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
3,1,IPC033-289 v1,"SELECT name, COUNT(SELECT DISTINCT track_id FROM Track, Performs WHERE Track.track_id = Performs.track_id) AS total FROM Artist WHERE total > 2 ORDER BY total DESC;",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
4,1,IPC033-289 v1,"SELECT A.name, COUNT(T.*) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id GROUP BY A.name HAVING COUNT(T.*) >= 3 ORDER BY COUNT(T.*) DESC;",0.25,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
6,1,IPC033-289 v1,"SELECT DISTINCT name, COUNT(track_id) AS Number_of_tracks FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING COUNT(track_id) => 3 ORDER BY Number_of_tracks DESC ;",0.125,1," SYNTAX: The query is not parseable.  SYNTAX MINOR ERROR: To make the query parseable, it was changed to, 'select name, count(track_id) as number_of_tracks from artist, performs where artist.artist_id = performs.artist_id group by name having number_of_tracks >= 3 order by number_of_tracks desc;'.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
7,1,IPC033-289 v1,"SELECT A.name, COUNT(T.track_id) AS count FROM Track T, Artist A, Preforms P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id AND count > 2 GROUP BY A.name ORDER BY count DESC;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Catalog Error: Table with name Preforms does not exist!Did you mean ""Performs""?. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
8,1,IPC033-289 v1,"WITH DistinctTracks ( artist_id, track_id ) AS ( SELECT DISTINCT Artist.artist_id, track_id FROM Artist NATURAL JOIN Performs ) SELECT name, count(track_id) FROM Artist NATURAL JOIN DistinctTracks GROUP BY artist_id HAVING count(track_id) >= 3 ORDER BY count(track_id) DESC;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""name"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(name)"" if the exact value of ""name"" is not important.LINE 1: ... Artist NATURAL JOIN Performs ) SELECT name, count(track_id) FROM Artist NATUR...                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
9,1,IPC033-289 v1,"SELECT name, COUNT(*) AS Nr FROM Artist WHERE artist_id IN (SELECT DISTINCT track_id, artist_id FROM Track, Performs WHERE Track.track_id=Performs.track_id) GROUP BY name HAVING COUNT(*) >= 3 ORDER BY Nr DESC;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""track_id"" (use: ""Performs.track_id"" or ""Track.track_id""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
10,1,IPC033-289 v1,"SELECT A.name, COUNT(DISTINCT T.track_id) FROM Artist A, Track T, Performs P WHERE A.artist_id  = P.artist_id AND P.track_id = T.track_id HAVING COUNT(DISTINCT T.track_id) >= 3 ORDER BY COUNT(DISTINCT T.track_id) DESC;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""name"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(name)"" if the exact value of ""name"" is not important.LINE 1: SELECT A.name, COUNT(DISTINCT T.track_id) FROM...               ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
11,1,IPC033-289 v1,"SELECT DISTINCT Artist.name, COUNT(Track.track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY Artist.name HAVING COUNT(*) >= 3 DESC;",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
