Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,1,"SELECT        track_title,        duration,        popularity FROM        Track WHERE        popularity >= 10        AND popularity <= 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
2,1,1,"SELECT Track.track_title, Track.duration, Track.popularity FROM Track WHERE Track.popularity >= 10 AND track.popularity <=20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
4,1,1,"SELECT track_title,duration,popularity FROM Track WHERE popularity>=10 AND popularity <=20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
5,1,1,"SELECT track_title, duration and popularity  FROM Track  WHERE  popularity >= 10 AND popularity <=20;",0.375,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
7,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity<=20 AND popularity>=10;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
8,1,1,"SELECT Track.track_title, duration, popularity  FROM Track  WHERE popularity>=10 AND popularity<=20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
9,1,1,"SELECT track_title, duration, popularity from Track WHERE popularity BETWEEN 10 and 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
10,1,1,"SELECT      track_title AS Title,      track_duration AS Duration,      popularity AS Popularity FROM      Track WHERE      popularity BETWEEN 10 AND 20;",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""track_duration"" not found in FROM clause!Candidate bindings: ""Track.duration""LINE 1: SELECT      track_title AS Title,      track_duration AS Duration,      popula...                                               ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
11,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity >= 10 AND popularity <= 20; ",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
12,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity>=10 AND popularity<=20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
13,1,1,"SELECT album_title, duration, popularity FROM Album JOIN Track ON Album.album_id = Track.album_id WHERE popularity BETWEEN 10 AND 20;",0.375,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
14,1,1,"SELECT title, duration, popularity FROM Track WHERE popularity BETWEEN 10 AND 20;",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""title"" not found in FROM clause!Candidate bindings: ""Track.track_title""LINE 1: SELECT title, duration, popularity FROM Track ...               ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
16,1,1,"SELECT popularity, track_title, duration FROM Track WHERE popularity BETWEEN 10 AND 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
17,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity BETWEEN 10 AND 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
18,1,1,"SELECT track_title, duration, popularity FROM Track WHERE 10 <= popularity AND popularity <= 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
19,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity BETWEEN 10 AND 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
20,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity >= 10 AND popularity <= 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
21,1,1,"SELECT track_title, duration, popularity  FROM Track  WHERE popularity <= 20  AND popularity >= 10;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
23,1,1,"SELECT title, duration, popularity FROM Track WHERE popularity BETWEEN 10 AND 20; ",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""title"" not found in FROM clause!Candidate bindings: ""Track.track_title""LINE 1: SELECT title, duration, popularity FROM Track ...               ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
24,1,1,"SELECT track_title, duration, popularity FROM Track WHERE Popularity BETWEEN 10 AND 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
25,1,1,"SELECT track_title,duration,popularity  FROM Track  WHERE popularity >=10 AND popularity <=20; ",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
26,1,1,"SELECT title, duration, popularity FROM Track WHERE popularity BETWEEN 10 AND 20; ",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""title"" not found in FROM clause!Candidate bindings: ""Track.track_title""LINE 1: SELECT title, duration, popularity FROM Track ...               ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
27,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity >= 10 AND  popularity <= 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
29,1,1,"FROM Track SELECT track_title, duration, popularity WHERE popularity >= 10 AND popularity <= 20;",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
30,1,1,"select track_title, duration, popularity from Track where popularity > 9 and popularity < 21;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
31,1,1,"SELECT track_title, duration, popularity FROM Track WHERE popularity >= 10 AND popularity <= 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
32,1,1,"SELECT track_title, duration, popularity  FROM Track WHERE popularity BETWEEN 10 AND 20;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
