id,query,syntax,semantic,results,correctness level,normalized value,,
115,,2,0,0,3,0.0769231,,
121,,2,0,0,3,0.0769231,,
133,,2,0,0,3,0.0769231,,
148,,2,0,0,3,0.0769231,,
15,,2,0,0,3,0.0769231,,
150,,2,0,0,3,0.0769231,,
152,,2,0,0,3,0.0769231,,
154,,2,0,0,3,0.0769231,,
163,,2,0,0,3,0.0769231,,
17,,2,0,0,3,0.0769231,,
170,,2,0,0,3,0.0769231,,
210,,2,0,0,3,0.0769231,,
223,,2,0,0,3,0.0769231,,
228,,2,0,0,3,0.0769231,,
251,,2,0,0,3,0.0769231,,
274,,2,0,0,3,0.0769231,,
279,,2,0,0,3,0.0769231,,
298,,2,0,0,3,0.0769231,,
303,,2,0,0,3,0.0769231,,
315,,2,0,0,3,0.0769231,,
317,,2,0,0,3,0.0769231,,
319,,2,0,0,3,0.0769231,,
323,,2,0,0,3,0.0769231,,
324,,2,0,0,3,0.0769231,,
334,,2,0,0,3,0.0769231,,
54,,2,0,0,3,0.0769231,,
57,,2,0,0,3,0.0769231,,
65,,2,0,0,3,0.0769231,,
71,,2,0,0,3,0.0769231,,
92,,2,0,0,3,0.0769231,,
83," SELECT * FROM Performs, Track, Artist WHERE duration>300 AND Track.track_id=Performs.track_id AND name='Queen' AND Artist.artist_id=Performs.artist_id;",2,2,2,27,1,,
6," SELECT * FROM Track T, Performs P, Artist A WHERE T.duration > 300 AND A.name = 'Queen' AND T.track_id = P.track_id AND A.artist_id = P.artist_id;",2,2,2,27,1,,
13," SELECT * FROM Track, Performs, Artist WHERE duration > 300 AND name = 'Queen' AND Performs.track_id = Track.track_id and Performs.artist_id = Artist.artist_id;",2,2,2,27,1,,
56,(SELECT* FROM Track WHERE duration>300) UNION (SELECT* FROM Artist WHERE name= 'Queen'),2,0,0,3,0.0769231,,
342,-,0,0,0,1,0,,
218,"-- Track.track_title in database but Track.title in introduction for some reason. SELECT Track.track_title FROM Track, Artist WHERE Performs.artist_id=Artist.artist_id AND Track.track_id=Performs.track_id AND Track.duration>300;",2,0,0,3,0.0769231,,
267,=,0,0,0,1,0,,
343,D SELECT * > FROM Track > NATURAL JOIN Performs > NATURAL JOIN Artist > WHERE Track.duration > 300 > AND Artist.name = 'Queen';,0,0,0,1,0,,
82,"D SELECT * FROM Track, Performs, Artist WHERE name = 'Queen' AND duration > 300 AND Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id;",0,0,0,1,0,,
336,"D SELECT * FROM Track,Performs,Artist WHERE Track.duration > 300 or Artist.name = 'Queen';",0,0,0,1,0,,
53,"FROM Track, Performs, Artists WHERE Track.duration>300 AND Artist.name=Queen AND Track.name=Performs.name=Artist.name;",0,0,0,1,0,,
159,"SELECT *	 FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id AND duration > 300 AND name = 'Queen';",2,2,2,27,1,,
225,"SELECT * > FROM Track, Performs, Artist > WHERE Track.duration>300 > AND Artist.name='Queen' > AND Performs.track_id=Track.track_id > AND Performs.artist_id=Artist.artist_id;",0,0,0,1,0,,
291,"SELECT * FROM (SELECT * FROM Track WHERE duration > 300) AS TrackLong(track_id, album_id, title, duration,popularity,explicit), Performs, (SELECT * FROM Artist WHERE name = 'Queen') AS Queen(artist_id, name) WHERE Queen.artist_id = Performs.artist_id AND TrackLong.track_id = Performs.track_id;",2,2,2,27,1,,
289,SELECT * FROM (SELECT * FROM Track WHERE duration > 300) NATURAL JOIN Performs NATURAL JOIN (SELECT * FROM Artist WHERE name = 'Queen');,0,0,0,1,0,,
188,SELECT * FROM (SELECT * FROM Track WHERE duration>300) NATURAL JOIN Performs NATURAL JOIN (SELECT * FROM Artist WHERE name='Queen');,0,0,0,1,0,,
249,SELECT * FROM (SELECT * FROM Track WHERE duration>300) NATURAL JOIN Performs NATURAL JOIN (SELECT * FROM Artist WHERE name='Queen');,0,0,0,1,0,,
196,SELECT * FROM Artist JOIN Writes ON Artist.artist_id = Writes.artist_id JOIN Track ON Track.track_id = Writes.track_id WHERE Track.track_title = 'Californication';,2,0,0,3,0.0769231,,
117,SELECT * FROM Artist NATURAL JOIN Performs NATURAL JOIN Track WHERE Artist.name='Queen' AND Track.duration>300;,2,0,1,12,0.423077,,
286,SELECT * FROM Artist NATURAL JOIN Performs NATURAL JOIN Track WHERE name='Queen' AND duration>300;,2,0,1,12,0.423077,,
266,SELECT * FROM Artist WHERE Track.duration > 300 AND Artist.name='Queen',2,0,0,3,0.0769231,,
31,"SELECT * FROM Artist, Perform, Track WHERE Track.duration >300 AND Track.track_id = Perform.track_id AND Perform.artist_id = Artist.artist_id AND Artist.artist_name = 'Queen';",2,0,0,3,0.0769231,,
75,"SELECT * FROM Artist, Performs, Track WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id AND name = 'Queen' AND duration > 300;",2,2,2,27,1,,
207,"SELECT * FROM Artist, Performs, Track WHERE Track.track_id = Performs.track_id AND Performs.artist_id = Artist.artist_id AND Track.duration > 300 AND Artist.name = 'Queen';",2,2,2,27,1,,
344,"SELECT * FROM Artist, Track, Performs WHERE Track.duration > 300 AND Artist.name = 'Queen' AND Performs.artist_id = Artist.artist_id AND Performs.track_id = Track.track_id;",2,2,2,27,1,,
5,"SELECT * FROM Artist,Track, Performs WHERE Artist.name = 'Queen' AND Track.duration > 300 AND Track.track_id = Performs.track_id AND Performs.artist_id = Artist.artist_id;",2,2,2,27,1,,
288,SELECT * FROM Performs NATURAL JOIN Track NATURAL JOIN Artist WHERE Artist.name = 'Queen' AND Track.duration > 300;,2,0,1,12,0.423077,,
310,SELECT * FROM Performs WHERE duration>300 AND name='Queen',2,0,0,3,0.0769231,,
308,"SELECT * FROM Performs, (SELECT * FROM Track WHERE duration > 300),(SELECT * FROM Artist WHERE name = 'Queen') WHERE Artist.artist_id = Track.artist_id",0,0,0,1,0,,
67,"SELECT * FROM Performs, Artist, Track WHERE Artist.name = 'Queen' AND Performs.artist_id = Artist.artist_id AND Track.track_id = Performs.track_id AND Track.duration > 300;",2,2,2,27,1,,
226,"SELECT * FROM Performs, Artist, Track WHERE Track.duration > 300 AND Artist.name = 'Queen' AND Performs.artist_id = Artist.artist_id AND Track.track_id = Performs.track_id ; ",2,2,2,27,1,,
258,"SELECT * FROM TRACK NATURAL JOIN Performs, Artist WHERE duration >300 AND Artist.name='Queen'; ",2,0,1,12,0.423077,,
23,SELECT * FROM Track INNER JOIN Performs ON (Track.track_id = Performs.track_id) INNER JOIN Artist ON (Performs.Artist_id = Artist.Artist_id) WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,2,2,27,1,,
116,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Artist.artist_id = Performs.artist_id WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,2,2,27,1,,
49,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Artist.artist_id = Performs.artist_id WHERE duration>300 AND name='Queen',2,2,2,27,1,,
271,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE Artist.name = 'Queen' AND Track.duration > 300;,2,2,2,27,1,,
311,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE Track.duration > 300 AND Artist.name ='Queen';,2,2,2,27,1,,
309,SELECT * FROM Track INNER JOIN Performs ON Track.track_id = Performs.track_id INNER JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE duration>300 AND Artist.name = 'Queen';,2,2,2,27,1,,
131,SELECT * FROM Track JOIN Performs ON Track.track_id = Performs.track_id JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE duration > 300 AND name = 'Queen';,2,2,2,27,1,,
88,SELECT * FROM Track JOIN Performs ON Track.track_id = Performs.track_id JOIN Artist ON Performs.artist_id = Artist.artist_id WHERE duration > 300 AND name = 'Queen';,2,2,2,27,1,,
241,SELECT * FROM Track JOIN Performs ON Track.track_id=Performs.track_id JOIN Artist ON Artist.artist_id=Performs.artist_id WHERE Artist.name='Queen' AND Track.duration>300;,2,2,2,27,1,,
47,SELECT * FROM Track JOIN Performs ON Track.track_id=Performs.track_id JOIN Artist ON Performs.artist_id=Artist.artist_id WHERE Track.duration>300 AND Artist.name='Queen';,2,2,2,27,1,,
314,SELECT * FROM Track JOIN Performs ON Track.track_id=Performs.track_id JOIN Artist On Performs.artist_id=Artist.artist_id Where duration>300 AND name='Queen';,2,2,2,27,1,,
328,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Aritst where Artist.name ='Queen';,2,0,0,3,0.0769231,,
209,"SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Artist.name - ""Queen"" AND Track.duration > 300;",2,0,0,3,0.0769231,,
158,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Artist.name = 'Queen' AND Track.duration > 300;,2,0,1,12,0.423077,,
58,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Artist.name='Queen' AND Track.duration>300;,2,0,1,12,0.423077,,
76,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
28,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
164,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
104,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
123,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
127,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
144,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
156,SELECT * FROM Track NATURAL JOIN Performs NATURAL JOIN Artist WHERE Track.duration > 300 AND Artist.name = 'Queen';,2,0,1,12,0.423077,,
