id,query,syntax,semantic,results,correctness level,normalized value,,,,
115,,1,0,0,2,0.142857,,,,
121,,1,0,0,2,0.142857,,,,
15,,1,0,0,2,0.142857,,,,
150,,1,0,0,2,0.142857,,,,
154,,1,0,0,2,0.142857,,,,
163,,1,0,0,2,0.142857,,,,
210,,1,0,0,2,0.142857,,,,
223,,1,0,0,2,0.142857,,,,
228,,1,0,0,2,0.142857,,,,
251,,1,0,0,2,0.142857,,,,
274,,1,0,0,2,0.142857,,,,
279,,1,0,0,2,0.142857,,,,
298,,1,0,0,2,0.142857,,,,
317,,1,0,0,2,0.142857,,,,
319,,1,0,0,2,0.142857,,,,
323,,1,0,0,2,0.142857,,,,
324,,1,0,0,2,0.142857,,,,
334,,1,0,0,2,0.142857,,,,
65,,1,0,0,2,0.142857,,,,
92,,1,0,0,2,0.142857,,,,
62," SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",1,1,1,8,1,,,,
225," SELECT Artist.name > FROM Track, Writes, Artist > WHERE Track.track_title='Californication' > AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",0,0,0,1,0,,,,
245," SELECT Writes.artist_id,Artist.artist_id, Track.track_id, Writes.track_id , track_title FROM Writes,Artist,Track WHERE Track.track_id=Writes.track_id AND track_title='Californication'AND Writes.artist_id=Artist.artist_id;",1,0,0,2,0.142857,,,,
239," SELECT name FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,0,0,2,0.142857,,,,
271,"-- Track.title doesn't exist so I used Track.track_title SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id; ",1,0,0,2,0.142857,,,,
267,=,0,0,0,1,0,,,,
343,"D SELECT DISTINCT Artist.name > FROM Artist, Track, Writes > WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",0,0,0,1,0,,,,
291,"SELECT * FROM 	 (SELECT * FROM (SELECT * FROM Track,Writes,Artist WHERE Track.title= 'Californication') WHERE Track.track_id = Writes.track_id) WHERE Writes.artist_id=Artist.artist_id; ",0,0,0,1,0,,,,
116,SELECT * FROM Artist INNER JOIN Writes ON Writes.artist_id = Artist.artist_id INNER JOIN Track ON Track.track_id = Writes.track_id WHERE Track.track_title = 'Californication';,1,1,1,8,1,,,,
196,SELECT * FROM Artist JOIN Writes ON Artist.artist_id = Writes.artist_id JOIN Track ON Track.track_id = Writes.track_id WHERE Track.track_title = 'Californication';,1,1,1,8,1,,,,
266,SELECT * FROM Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication',1,0,0,2,0.142857,,,,
212,"SELECT * FROM Artist WHERE artist_id = (SELECT artist_id FROM Writes WHERE track_id = (SELECT track_id FROM Track WHERE title = ""Californication"")) ;",1,0,0,2,0.142857,,,,
31,"SELECT * FROM Artist, Track, Writes WHERE Track.track_title = 'Californication' AND Track.artist_id = Writes.artist_id AND Writes.artist_id = Artist.artist_id",1,0,0,2,0.142857,,,,
5,"SELECT * FROM Artist, Track, Writes WHERE Track.track_title = 'Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",1,1,1,8,1,,,,
226,"SELECT * FROM Artist, Track, Writes WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id ;",1,1,1,8,1,,,,
281,"SELECT * FROM Artist, Writes, Track WHERE Artist.artist_id = Writes.artist_id AND Track.track_id = Writes.track_id AND Track.title = 'Californication'",1,0,0,2,0.142857,,,,
295,"SELECT * FROM Artist, Writes, Track WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",1,1,1,8,1,,,,
23,SELECT * FROM Track INNER JOIN Writes ON (Track.track_id = Writes.track_id) INNER JOIN Artist ON (Writes.artist_id = Artist.artist_id) WHERE Track.track_title = 'Californication';,1,1,1,8,1,,,,
192,SELECT * FROM Track JOIN Writes ON Track.track_id = Writes.track_id JOIN Artist ON Writes.artist_id = Artist.artist_id AND Track.title = 'Californication';,1,0,0,2,0.142857,,,,
47,SELECT * FROM Track JOIN Writes ON Track.track_id=Writes.track_id JOIN Artist ON Writes.artist_id=Artist.artist_id WHERE Track.track_title='Californication';,1,1,1,8,1,,,,
58,SELECT * FROM Track NATURAL JOIN Writes NATURAL JOIN Artist WHERE Track.track_title='Californication';,1,0,0,2,0.142857,,,,
270,SELECT * FROM Track NATURAL JOIN Writes NATURAL JOIN Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';,1,0,0,2,0.142857,,,,
68,"SELECT * FROM Track T, Writes W, Artist A WHERE T.track_title = 'Californication' AND T.track_id = W.track_id AND W.artist_id = A.artist_id;",1,1,1,8,1,,,,
50,"SELECT * FROM Track T, Writes W, Artist A WHERE T.track_title = 'Californication' AND T.track_id=W.track_id AND W.artist_id=A.artist_id;",1,1,1,8,1,,,,
285,"SELECT * FROM Track T, Writes W, Artist A WHERE T.track_title='Californication' AND T.track_id=W.track_id AND W.artist_id=A.artist_id;",1,1,1,8,1,,,,
180,"SELECT * FROM Track T, Writes W, Artist A WHERE W.artist_id = A.artist_id AND T.track_id = W.track_id AND T.track_title = 'Califnicatio';",1,0,0,2,0.142857,,,,
140,"SELECT * FROM Track T, Writes W, Artist A WHERE W.artist_id = A.artist_id AND W.track_id = T.track_id AND T.track_title = 'Californication'",1,1,1,8,1,,,,
306,"SELECT * FROM Track T, Writes W, Artist A WHERE W.artist_id=A.artist_id AND T.track_id=W.track_id AND T.track_title='Californication';",1,1,1,8,1,,,,
256,"SELECT * FROM Track t, Writes w, Artist a WHERE t.track_id = w.track_id AND t.track_title = 'Californication' AND w.artist_id = a.artist_id; ",1,1,1,8,1,,,,
21,"SELECT * FROM Track t, Writes w, Artist a WHERE w.artist_id = a.artist_id AND t.track_id = w.track_id AND t.track_title = 'Californication';",1,1,1,8,1,,,,
16,"SELECT * FROM Track t,Writes w, Artist a WHERE w.artist_id = a.artist_id AND t.track_id =w.track_id AND t.track_title ='Californication'; ",1,1,1,8,1,,,,
49,"SELECT * FROM Track, Writes, Arist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication' ",1,0,0,2,0.142857,,,,
77,"SELECT * FROM Track, Writes, Artist WHERE (Track.track_title = 'Californication') AND (Track.track_id = Writes.track_id) AND (Writes.artist_id = Artist.artist_id);",1,1,1,8,1,,,,
327,"SELECT * FROM Track, Writes, Artist WHERE (Track.track_title='Californication') AND (Track.track_id=Writes.track_id) AND (Writes.artist_id=Artist.artist_id);",1,1,1,8,1,,,,
100,"SELECT * FROM Track, Writes, Artist WHERE (Track.track_title='Californication') AND (Track.track_id=Writes.track_id) AND (Writes.artist_id=Artist.artist_id); -- Note that WHERE (Track.title='Californication') was changed to WHERE (Track.track_title='Californication') as Track.title does not exist in the file used",1,1,1,8,1,,,,
90,"SELECT * FROM Track, Writes, Artist WHERE (Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND track_title = 'Californication');",1,1,1,8,1,,,,
95,"SELECT * FROM Track, Writes, Artist WHERE (Writes.artist_id=Artist.artist_id) AND (Track.track_id=Writes.track_id) AND (Track.track_title='Californication');",1,1,1,8,1,,,,
254,"SELECT * FROM Track, Writes, Artist WHERE Track.title = 'Californication' AND (Track.track_id = Writes.track_id AND (Writes.artist_id = Artist.artist_id)); ",1,0,0,2,0.142857,,,,
153,"SELECT * FROM Track, Writes, Artist WHERE Track.title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id",1,0,0,2,0.142857,,,,
