Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-235 v1,"SELECT Person.person_name FROM Person, Written_by, Paper WHERE NOT EXISTS (     SELECT Person.person_name     FROM Person, Written_by, Paper     WHERE Person.email = Written_by.email     AND Written_by.doi = Paper.doi     AND Paper.issn = '2330-1635' )",0.2,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
2,1,IPC033-235 v1,SELECT person_name FROM Person WHERE NOT '2330-1635' IN( SELECT issn FROM Journal WHERE issn.Journal = issn.Person);,0.2,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Cannot extract field 'Journal' from expression ""issn"" because it is not a struct or a union. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
3,1,IPC033-235 v1,"SELECT a.person_name FROM Person a, Written_by w, Paper p WHERE a.email = w.email and w.doi = p.doi AND NOT EXISTS ( SELECT 1 FROM Journal j WHERE j.issn = '2330-1635' AND j.issn = p.issn )",0.2,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
4,1,IPC033-235 v1,"SELECT person_name FROM Journal, Paper, Written_by, Person WHERE Journal.issn = Paper.issn WHERE Paper.doi = Written_by.doi WHERE Written_by.email = Person.email WHERE NOT issn = '2330-1635';  ",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
5,1,IPC033-235 v1,"SELECT person_name FROM Person, Written_by WHERE Person.email = Written_by.email AND NOT EXISTS ( SELECT doi                                FROM Written_by, Paper, Journal                                WHERE Written_by.doi = Paper.doi AND Paper.issn = Journal.issn                                 AND Journal.issn <> '2330-1635'                              )",0.2,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""doi"" (use: ""Written_by.doi"" or ""Paper.doi""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
6,1,IPC033-235 v1,SELECT person_name  FROM Person WHERE NOT EXISTS(   SELECT issn   FROM Journal   WHERE Journal.issn = '2330-1635'),0.2,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
7,1,IPC033-235 v1,"SELECT person_name FROM Person P2 WHERE NOT ´2330-1635´ IN (       SELECT P1.issn       FROM Paper P1, Written_by W       WHERE P1.doi = W.doi       AND W.email = P2.email ) ;",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
8,1,IPC033-235 v1,"SELECT name FROM Person, Paper, Written_by WHERE NOT name IN ( Paper.issn = '2330-1635' AND  Paper.doi = Written_by.doi AND Written_by.name = name)",0.2,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""name"" not found in FROM clause!Candidate bindings: ""Paper.year""LINE 1: ...OM Person, Paper, Written_by WHERE NOT name IN ( Paper.issn = '2330-1635' AND ...                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
9,1,IPC033-235 v1,Select Person.person_name from Person JOIN Written_by ON Person.email=Written_by.email JOIN Paper On Written_by.doi=Paper.doi JOIN Journal ON Paper.issn=Journal.issn Group by Person.person_name Having Count(Journal.issn='2330-1635')=0,0.2,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
10,1,IPC033-235 v1,"SELECT P.person_name FROM Person P, Journal J WHERE P.issn = J.issn AND J.issn != '2330-1635';",0.2,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Table ""P"" does not have a column named ""issn""LINE 1: ...on_name FROM Person P, Journal J WHERE P.issn = J.issn AND J.issn != '2330-163...                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
11,1,IPC033-235 v1,"SELECT DISTINCT pe.person_name FROM Person pe, Journal j, Paper pa, Written_by wr WHERE wr.doi = pa.doi AND wr.email = pe.email AND j.issn = pa.issn AND NOT EXISTS ( SELECT j1.issn  FROM Journal j1 AND j1.issn = ´2330-1635´) ;",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
12,1,IPC033-235 v1,"SELECT Person.person_name FROM Person WHERE NOT IN( SELECT * FROM Person, Paper, Written_by, Journal WHERE Person.email = Written_by.email AND Written_by.doi = Paper.doi AND Paper.issn = Journal.issn AND Journal.issn = '2330-1635' );",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
13,1,IPC033-235 v1,SELECT DISTINCT person_name FROM Person WHERE Person.email=Written_by.email AND Written_by.doi=Paper.doi AND Paper.issn=Journal.issn AND NOT Journal.issn=´2330-1635´;,0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
14,1,IPC033-235 v1,"SELECT Person.person_name  FROM Person WHERE NOT IN (     SELECT Person.person_name     FROM Person, Paper, Journal, Written_by     WHERE Person.email = Written_by.email     AND Written_by.doi = Paper.doi      AND Journal.issn = Paper.issn     AND Journal.issn = '2330-1635' );",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
15,1,IPC033-235 v1,"SELECT person_name FROM Person WHERE NOT email EXISTS IN (   SELECT email   FROM Written_by, Paper   WHERE issn = 2330-1635   AND Paper.doi = Written_by.doi );",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
