Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-292 v1,"SELECT song FROM Track, Album WHERE Track.album_id = Album.album_id AND title = 'Nevermind';",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
2,1,IPC033-292 v1,SELECT T.song FROM Track T JOIN Album A ON T.album_id = A.album_id WHERE A.title = 'Nevermind';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
3,1,IPC033-292 v1,"SELECT song FROM Track, Album WHERE Album.title = 'Nevermind' AND Track.album_id = Album.album_id;",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
4,1,IPC033-292 v1,"SELECT T.song FROM Track T, Album A WHERE T.album_id = A.album_id AND A.title = 'Nevermind';",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
5,1,IPC033-292 v1,SELECT song FROM Track WHERE album_id = 'Nevermind';,0.25,1," SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
6,1,IPC033-292 v1,"SELECT song, album_id FROM Track, Album WHERE title = 'Nevermind' AND  Album.album_id= Track.album_id ;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""album_id"" (use: ""Album.album_id"" or ""Track.album_id""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
7,1,IPC033-292 v1,SELECT T.song FROM Track T NATURAL JOIN Album A WHERE A.title = 'Nevermind';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
8,1,IPC033-292 v1,SELECT song FROM Track NATURAL JOIN Album WHERE title = 'Nevermind';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
9,1,IPC033-292 v1,"SELECT song FROM Track, Album WHERE Track.album_id=Album.album_id AND Album.title='Nevermind';",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
10,1,IPC033-292 v1,SELECT song FROM Track T JOIN Album A ON T.album_id =  A.album_id WHERE A.title =  'Nevermind';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
