Answer_original,Score_original,Score_final,score_difference
"SELECT name, COUNT(DISTINCT track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY name HAVING COUNT(DISTINCT track_id) >= 3 ORDER BY COUNT(DISTINCT track_id) DESC;",0.0,0.25,0.25
"SELECT A.name, COUNT(P.tracks_id) AS least3 FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id GROUP BY A.name HAVING COUNT(P.tracks_id) >2 ORDER BY least3 DESC;",0.0,0.25,0.25
"SELECT name, COUNT(SELECT DISTINCT track_id FROM Track, Performs WHERE Track.track_id = Performs.track_id) AS total FROM Artist WHERE total > 2 ORDER BY total DESC;",0.0,0.0,0.0
"SELECT A.name, COUNT(T.*) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id GROUP BY A.name HAVING COUNT(T.*) >= 3 ORDER BY COUNT(T.*) DESC;",0.5,0.25,-0.25
"SELECT DISTINCT name, COUNT(track_id) AS Number_of_tracks FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name HAVING COUNT(track_id) => 3 ORDER BY Number_of_tracks DESC ;",0.5,0.0,-0.5
"SELECT A.name, COUNT(T.track_id) AS count FROM Track T, Artist A, Preforms P WHERE A.artist_id = P.artist_id AND P.track_id = T.track_id AND count > 2 GROUP BY A.name ORDER BY count DESC;",0.0,0.25,0.25
"WITH DistinctTracks ( artist_id, track_id ) AS ( SELECT DISTINCT Artist.artist_id, track_id FROM Artist NATURAL JOIN Performs ) SELECT name, count(track_id) FROM Artist NATURAL JOIN DistinctTracks GROUP BY artist_id HAVING count(track_id) >= 3 ORDER BY count(track_id) DESC;",1.0,0.25,-0.75
"SELECT name, COUNT(*) AS Nr FROM Artist WHERE artist_id IN (SELECT DISTINCT track_id, artist_id FROM Track, Performs WHERE Track.track_id=Performs.track_id) GROUP BY name HAVING COUNT(*) >= 3 ORDER BY Nr DESC;",0.0,0.25,0.25
"SELECT A.name, COUNT(DISTINCT T.track_id) FROM Artist A, Track T, Performs P WHERE A.artist_id  = P.artist_id AND P.track_id = T.track_id HAVING COUNT(DISTINCT T.track_id) >= 3 ORDER BY COUNT(DISTINCT T.track_id) DESC;",0.0,0.25,0.25
"SELECT DISTINCT Artist.name, COUNT(Track.track_id) FROM Artist, Track, Performs WHERE Artist.artist_id = Performs.artist_id AND Track.track_id = Performs.track_id GROUP BY Artist.name HAVING COUNT(*) >= 3 DESC;",0.0,0.0,0.0
"SELECT DISTINCT A.name, COUNT(*) as ntracks FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND T.track_id = P.track_id GROUP BY A.name HAVING COUNT(*) >=3 ORDER BY ntracks DESC;",0.5,0.25,-0.25
"SELECT a.name, COUNT(DISTINCT p.track_id) AS nr_of_tracks FROM Artist a JOIN Performs p ON a.artist_id = p.artist_id GROUP BY a.name HAVING COUNT(DISTINCT p.track_id) >= 3 ORDER BY nr_of_tracks DESC, a.name;",1.0,0.25,-0.75
"SELECT Artist.name, COUNT(DISTINCT Performs.track_id) FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY Artist.name HAVING COUNT(DISTINCT Performs.track_id) >= 3 ORDER BY DESC;",0.0,0.125,0.125
"SELECT Artist.name, COUNT(DISTINCT Performs.track_id)  AS num_tracks FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id AND Performs.artist_id num_tracks >= 3 ORDER BY num_tracks DESC;",0.0,0.0,0.0
"Select A.name, COUNT(DISTINCT P.track_id) AS nr_of_tracks_with_performance From Artist A, Performs P Where A.artist_id = P.artist_id GROUP BY artist_id HAVING COUNT(nr_of_tracks_with_performance) >=3 ORDER BY nr_of_tracks_with_performance DESC",0.0,0.25,0.25
"SELECT name, COUNT(track_id)  FROM Artist, Performs WHERE Artist.artist_id = Performs.artist_id GROUP BY name  HAVING COUNT(track_id) >= 3  ORDER BY COUNT(track_id) DESC;",0.5,0.25,-0.25
"SELECT A.name , COUNT(*) FROM Artist A, Track T WHERE T.album_id=A.album_id   GROUP BY A.name HAVING COUNT(*)>=3;",0.0,0.25,0.25
"SELECT A.name, Count(DISTINCT Performs.artist_id) AS played_by_artist FROM Artist A JOIN Performs P ON A.artist_id = P.artist_id  GROUP BY A.name  HAVING COUNT(DISTINCT Performs.artist_id) >= 3 ORDER BY played_by_artist DESC;",0.0,0.25,0.25
"SELECT name, DISTINCT COUNT(song) FROM Artist, Track WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id AND HAVING Track.song >= 3 ORDER BY Track.song DESC;",0.0,0.0,0.0
"SELECT Artist.name, COUNT(Performs.track_id) FROM Performs, Artist WHERE Performs.artist_id = Artist.artist_id GROUP BY Performs.artist_id HAVING COUNT(Performs.track_id) >= 3 ORDER BY COUNT(Performs.track_id) DESC;",0.5,0.25,-0.25
JOIN Track*Artist SELECT name AND track COUNT(*) FROM Track*Artist WHERE track COUNT(*) is MIN(3) GROUPING BY name ORDER BY DESC,0.0,0.0,0.0
"SELECT name, COUNT(*) FROM Artist, Performs p GROUP BY p.artist_id HAVING COUNT(*) >= 3",0.0,0.25,0.25
